序号,交易对,卖量暴涨倍数,当日买量倍数,当日卖量倍数,买卖量比值,信号时未平仓量,建仓时未平仓量,未平仓量比率,买量加速度,信号时间,信号价,建仓日期,建仓具体时间,建仓后持仓数,平仓后持仓数,建仓5分钟时刻,建仓时多空比,建仓价,建仓涨幅%,平仓日期,平仓具体时间,平仓价,持仓小时数,盈亏百分比,建仓手续费,补仓手续费,平仓手续费,交易手续费合计,资金费,资金费次数,平均费率%,盈亏金额,扣交易费后,最终净盈亏,真实盈亏金额,余额,连续爆,2小时判断,12小时判断,平仓原因,基差%,杠杆倍数,仓位金额,是否有补仓,补仓价格,补仓后平均价,2h收盘价,2h涨幅%,2h最大跌幅%,12h收盘价,12h涨幅%,12h最大跌幅%,24h收盘价,24小时涨幅%,24h最大跌幅%,72h最大跌幅%,最大跌幅%,2小时最大涨幅%,24小时最大涨幅%,止盈阈值%,建仓时账户多空比,信号时账户多空比,多空比变化率,当前5m时间,当前5m收盘价,当前浮盈金额,当前浮盈百分比
31,STGUSDT,37.8,5.1,6.0,0.845,"$11,291,626","$13,972,304",0.808,0.0000,2026-03-27 03:00,0.274500,2026-03-27,2026-03-27 04:00:00,5,2,2026-03-27 04:00:00,0.66,0.270700,-1.38%,2026-03-27,2026-03-27 18:25:00,0.240923,14.42,11.00%,2.6640,,2.3710,5.0350,0.0000,,,1465.20,1460.17,1460.17,1460.17,16846.04,是,中（改成20%）,弱（12%）,take_profit,-0.4397%,5.0,2664.00,否,,,0.263100,-2.81%,5.21%,0.256600,-5.21%,6.94%,0.242000,,13.52%,15.37%,12.41%,3.36%,,11.0%,0.6586,0.8653,0.7611,,,,
32,KNCUSDT,49.8,22.5,44.0,0.511,"$3,334,119","$5,236,662",0.637,0.0000,2026-03-27 06:00,0.184900,2026-03-27,2026-03-27 07:00:00,5,4,2026-03-27 07:00:00,0.89,0.184600,-0.16%,2026-03-27,2026-03-27 10:15:00,0.164294,3.25,11.00%,2.9414,,2.6179,5.5593,0.0000,,,1617.79,1612.23,1612.23,1612.23,18458.27,是,中（改成20%）,中（保持20%）,take_profit,-0.6720%,5.0,2941.43,否,,,0.175800,-4.77%,7.31%,0.162700,-11.86%,12.95%,0.152300,,19.77%,25.19%,11.65%,3.85%,,11.0%,0.8939,1.1400,0.7841,,,,
33,LDOUSDT,37.6,15.2,23.5,0.648,"$8,429,272","$10,806,113",0.780,0.0000,2026-03-27 15:00,0.286000,2026-03-27,2026-03-27 16:00:00,5,2,2026-03-27 16:00:00,1.47,0.285800,-0.07%,2026-03-28,2026-03-28 03:55:00,0.298100,11.92,-4.30%,3.2478,,3.3875,6.6353,0.0000,,,-698.87,-705.51,-705.51,-705.51,17752.76,否,中（改成20%）,中（保持20%）,early_stop_loss_12h,-0.0501%,5.0,3247.76,否,,,0.287500,0.59%,0.94%,0.298100,4.30%,0.94%,0.307200,,0.94%,0.94%,0.94%,1.99%,,,1.4673,1.5413,0.9520,,,,
34,B3USDT,241.7,82.6,61.9,1.335,"$3,108,525","$2,832,893",1.097,0.0000,2026-03-27 17:00,0.000363,2026-03-27,2026-03-27 18:00:00,5,1,2026-03-27 18:00:00,1.74,0.000358,-1.16%,2026-03-28,2026-03-28 05:55:00,0.000378,11.92,-5.50%,3.2478,,3.4263,6.6740,0.0000,,,-892.59,-899.26,-899.26,-899.26,16853.50,是,中（改成20%）,中（保持20%）,early_stop_loss_12h,-0.5733%,5.0,3247.76,否,,,0.000367,2.29%,0.36%,0.000378,5.50%,0.36%,0.000356,,4.94%,13.45%,0.36%,6.50%,,,1.7405,1.5934,1.0923,,,,
35,QUSDT,80.7,21.2,23.8,0.892,"$4,869,122","$6,929,561",0.703,0.0000,2026-03-28 00:00,0.013825,2026-03-28,2026-03-28 01:00:00,5,4,2026-03-28 01:00:00,0.94,0.013562,-1.90%,2026-03-28,2026-03-28 01:15:00,0.011935,0.25,12.00%,3.1002,,2.7281,5.8283,0.0000,,,1860.10,1854.27,1854.27,1854.27,18707.77,是,强（2h内默认）,强（保持30%）,take_profit,0.0000%,5.0,3100.17,否,,,0.008373,-38.26%,65.89%,0.008639,-36.30%,65.89%,0.009276,,65.89%,65.89%,65.89%,3.05%,,,0.9372,1.0995,0.8524,,,,
36,OLUSDT,44.0,6.9,7.7,0.885,"$766,379","$829,253",0.924,0.0000,2026-03-28 05:00,0.012890,2026-03-28,2026-03-28 06:00:00,2,1,2026-03-28 06:00:00,2.82,0.013000,0.85%,2026-03-28,2026-03-28 09:25:00,0.011570,3.42,11.00%,3.4525,,3.0727,6.5252,0.0000,,,1898.86,1892.34,1892.34,1892.34,20600.11,否,中（改成20%）,中（保持20%）,take_profit,0.0000%,5.0,3452.48,否,,,0.012690,-2.38%,3.31%,0.011830,-9.00%,17.62%,0.011720,,17.62%,20.77%,17.62%,1.15%,,11.0%,2.8183,2.7133,1.0387,,,,
37,NOMUSDT,40.4,11.1,13.5,0.821,"$1,712,383","$3,529,140",0.485,0.0000,2026-03-28 11:00,0.002349,2026-03-28,2026-03-28 12:00:00,2,1,2026-03-28 12:00:00,1.54,0.002290,-2.51%,2026-03-28,2026-03-28 14:00:00,0.002382,2.0,-4.02%,3.8120,,3.9652,7.7772,0.0000,,,-765.73,-773.51,-773.51,-773.51,19826.60,是,中（推断20%）,中（保持20%）,early_stop_loss,-2.1719%,5.0,3812.03,否,,,0.002408,5.15%,3.80%,0.003099,35.33%,3.80%,0.002669,,3.80%,3.80%,3.80%,11.27%,,,1.5432,2.5549,0.6040,,,,
38,PTBUSDT,41.6,3.7,3.3,1.136,"$12,082,262","$7,846,608",1.540,0.0000,2026-03-28 12:00,0.001313,2026-03-28,2026-03-28 13:00:00,3,2,2026-03-28 13:00:00,2.80,0.001213,-7.62%,2026-03-28,2026-03-28 13:55:00,0.001371,0.92,-13.00%,3.6651,,4.1415,7.8066,0.0000,,,-2382.29,-2390.09,-2390.09,-2390.09,17436.51,是,强（2h内默认）,强（保持30%）,stop_loss,0.0000%,5.0,3665.06,否,,,0.001308,7.83%,6.60%,0.001249,2.97%,6.60%,0.001140,,7.67%,20.69%,6.60%,21.35%,,,2.8037,2.3047,1.2165,,,,
39,HEMIUSDT,39.3,9.2,10.6,0.865,"$1,343,719","$1,922,138",0.699,0.0000,2026-03-28 17:00,0.006367,2026-03-28,2026-03-28 18:00:00,2,4,2026-03-28 18:00:00,2.40,0.006227,-2.20%,2026-03-31,2026-03-31 17:55:00,0.005915,71.92,5.01%,3.2109,,3.0501,6.2610,0.0000,,,804.41,798.15,798.15,798.15,18234.66,是,中（改成20%）,弱（12%）,max_hold_time,-0.5243%,5.0,3210.94,否,,,0.006019,-3.34%,4.61%,0.006339,1.80%,6.52%,0.005853,-6.01%,7.61%,10.87%,10.87%,2.57%,,,2.3967,2.8595,0.8382,,,,
40,CKBUSDT,85.8,71.4,57.6,1.240,"$1,152,823","$1,294,693",0.890,0.0000,2026-03-29 00:00,0.001388,2026-03-29,2026-03-29 01:00:00,2,4,2026-03-29 01:00:00,1.74,0.001377,-0.79%,2026-04-01,2026-04-01 00:55:00,0.001392,71.92,-1.09%,3.3129,,3.3490,6.6620,0.0000,,,-180.44,-187.11,-187.11,-187.11,18047.55,否,中（改成20%）,弱（12%）,max_hold_time,-0.1311%,5.0,3312.94,否,,,0.001363,-1.02%,1.23%,0.001346,-2.25%,2.61%,0.001342,-2.54%,5.37%,5.37%,5.37%,1.09%,,,1.7435,2.0084,0.8681,,,,
41,VANAUSDT,82.8,73.8,62.3,1.185,"$1,863,431","$2,687,278",0.693,0.0000,2026-03-29 00:00,1.283000,2026-03-29,2026-03-29 01:00:00,3,3,2026-03-29 01:00:00,1.26,1.295000,0.94%,2026-04-01,2026-04-01 00:55:00,1.247000,71.92,3.71%,3.3129,,3.1901,6.5031,0.0000,,,613.98,607.48,607.48,607.48,18655.03,否,中（改成20%）,弱（12%）,max_hold_time,-1.3938%,5.0,3312.94,否,,,1.314000,1.47%,1.78%,1.234000,-4.71%,5.25%,1.219000,-5.87%,7.72%,7.72%,7.72%,2.70%,,,1.2635,1.2416,1.0176,,,,
42,NOMUSDT,41.7,2.3,2.4,0.964,"$7,739,012","$8,384,525",0.923,0.0000,2026-03-28 23:00,0.003099,2026-03-29,2026-03-29 00:00:00,3,3,2026-03-29 00:00:00,0.91,0.003140,1.32%,2026-03-29,2026-03-29 02:45:00,0.002795,2.75,11.00%,3.3129,,2.9485,6.2614,0.0000,,,1822.11,1815.85,1815.85,1815.85,20470.88,是,中（改成20%）,中（保持20%）,take_profit,-0.8843%,5.0,3312.94,否,,,0.003012,-4.08%,8.38%,0.002669,-15.00%,19.11%,0.002591,,28.47%,28.47%,13.79%,3.92%,,11.0%,0.9062,0.9298,0.9746,,,,
43,我踏马来了USDT,130.9,65.3,49.2,1.327,"$3,761,666","$4,078,473",0.922,0.0000,2026-03-29 07:00,0.007760,2026-03-29,2026-03-29 08:00:00,4,2,2026-03-29 08:00:00,2.02,0.007788,0.36%,2026-04-01,2026-04-01 07:55:00,0.007399,71.92,4.99%,3.6579,,3.4752,7.1332,0.0000,,,913.55,906.41,906.41,906.41,21377.30,否,中（改成20%）,弱（12%）,max_hold_time,0.0000%,5.0,3657.95,否,,,0.007764,-0.31%,2.14%,0.007620,-2.16%,4.67%,0.007886,1.26%,4.67%,6.74%,6.74%,2.45%,,,2.0221,2.0021,1.0100,,,,
44,SENTUSDT,37.9,11.1,17.8,0.625,"$8,194,051","$9,727,634",0.842,0.0000,2026-03-29 10:00,0.018140,2026-03-29,2026-03-29 11:00:00,5,1,2026-03-29 11:00:00,0.58,0.018130,-0.06%,2026-04-01,2026-04-01 10:55:00,0.017110,71.92,5.63%,3.6579,,3.4522,7.1101,0.0000,,,1028.99,1021.88,1021.88,1021.88,22399.17,是,中（改成20%）,弱（12%）,max_hold_time,-2.7832%,5.0,3657.95,否,,,0.017920,-1.16%,2.92%,0.018490,1.99%,2.92%,0.019040,5.02%,2.92%,6.45%,6.45%,2.04%,,,0.5850,0.5627,1.0396,,,,
45,KERNELUSDT,91.2,1.7,1.7,1.020,"$14,825,605","$14,541,048",1.020,0.0000,2026-03-31 17:00,0.110150,2026-03-31,2026-03-31 18:00:00,5,4,2026-03-31 18:00:00,0.53,0.111100,0.86%,2026-04-01,2026-04-01 00:25:00,0.098879,6.42,11.00%,3.8096,,3.3905,7.2001,0.0000,,,2095.28,2088.08,2088.08,2088.08,24487.25,是,中（改成20%）,中（保持20%）,take_profit,-0.4637%,5.0,3809.60,否,,,0.109240,-1.67%,3.13%,0.103040,-7.25%,12.06%,0.122690,,13.13%,13.13%,11.76%,3.87%,,11.0%,0.5333,0.5501,0.9695,,,,
46,MINAUSDT,40.9,50.6,105.4,0.480,"$1,750,190","$2,340,529",0.748,0.0000,2026-04-01 00:00,0.056140,2026-04-01,2026-04-01 01:00:00,3,3,2026-04-01 01:00:00,1.19,0.058210,3.69%,2026-04-04,2026-04-04 00:55:00,0.056180,71.92,3.49%,4.6526,,4.4903,9.1429,0.0000,,,811.26,802.12,802.12,802.12,25289.37,是,中（改成20%）,弱（12%）,max_hold_time,-0.8857%,5.0,4652.58,否,,,0.058690,0.82%,4.29%,0.058550,0.58%,4.29%,0.058660,0.77%,4.29%,6.03%,6.03%,1.92%,,,1.1896,1.2640,0.9411,,,,
47,BLURUSDT,75.9,716.2,899.0,0.797,"$3,090,241","$3,217,509",0.960,0.0000,2026-04-01 01:00,0.019340,2026-04-01,2026-04-01 02:00:00,4,3,2026-04-01 02:00:00,1.66,0.019460,0.62%,2026-04-01,2026-04-01 04:00:00,0.020070,2.0,-3.13%,4.6526,,4.7984,9.4510,0.0000,,,-729.21,-738.66,-738.66,-738.66,24550.71,是,中（推断20%）,中（保持20%）,early_stop_loss,-3.4733%,5.0,4652.58,否,,,0.019950,2.52%,0.98%,0.024120,23.95%,0.98%,0.021470,,0.98%,1.49%,0.98%,3.85%,,,1.6567,1.7647,0.9388,,,,
48,LQTYUSDT,92.1,149.1,209.2,0.713,"$1,032,583","$1,264,827",0.816,0.0000,2026-04-01 06:00,0.280100,2026-04-01,2026-04-01 07:00:00,4,2,2026-04-01 07:00:00,1.95,0.282900,1.00%,2026-04-04,2026-04-04 06:55:00,0.270400,71.92,4.42%,4.5122,,4.3129,8.8251,0.0000,,,996.87,988.04,988.04,988.04,25538.76,否,中（改成20%）,弱（12%）,max_hold_time,-0.3026%,5.0,4512.23,否,,,0.285500,0.92%,1.27%,0.277200,-2.01%,3.46%,0.270300,-4.45%,6.12%,6.12%,6.12%,1.38%,,,1.9507,2.1085,0.9252,,,,
49,CLOUSDT,38.7,3.4,4.6,0.743,"$3,119,289","$2,786,673",1.119,0.0000,2026-04-01 12:00,0.075560,2026-04-01,2026-04-01 13:00:00,3,2,2026-04-01 13:00:00,2.59,0.076710,1.52%,2026-04-01,2026-04-01 16:45:00,0.086682,3.75,-13.00%,4.5122,,5.0988,9.6111,0.0000,,,-2932.95,-2942.56,-2942.56,-2942.56,22596.20,否,中（改成20%）,中（保持20%）,stop_loss,0.0000%,5.0,4512.23,否,,,0.076540,-0.22%,2.84%,0.083390,8.71%,4.48%,0.088930,,4.48%,4.59%,2.84%,2.78%,,,2.5945,2.3990,1.0815,,,,
50,DODOXUSDT,120.9,41.0,38.7,1.058,"$528,738","$1,129,997",0.468,0.0000,2026-04-01 13:00,0.018129,2026-04-01,2026-04-01 14:00:00,4,3,2026-04-01 14:00:00,1.87,0.019257,6.22%,2026-04-01,2026-04-01 14:30:00,0.016946,0.5,12.00%,3.9531,,3.4788,7.4319,0.0000,,,2371.89,2364.46,2364.46,2364.46,24960.65,是,强（2h内默认）,强（保持30%）,take_profit,-1.7759%,5.0,3953.15,否,,,0.015173,-21.21%,22.09%,0.015215,-20.99%,24.69%,0.014933,,24.69%,24.69%,20.62%,0.39%,,,1.8670,2.2960,0.8132,,,,
51,BLURUSDT,215.5,2.7,3.0,0.903,"$7,213,250","$7,691,132",0.938,0.0000,2026-04-01 23:00,0.022290,2026-04-02,2026-04-02 00:00:00,3,2,2026-04-02 00:00:00,1.14,0.021820,-2.11%,2026-04-02,2026-04-02 21:10:00,0.019420,21.17,11.00%,4.4024,,3.9181,8.3205,0.0000,,,2421.32,2413.00,2413.00,2413.00,27373.65,是,中（改成20%）,弱（12%）,take_profit,-3.2479%,5.0,4402.39,否,,,0.021470,-1.60%,3.35%,0.020410,-6.46%,7.24%,0.019590,,11.27%,12.42%,11.27%,4.58%,,11.0%,1.1386,1.1191,1.0174,,,,
52,VTHOUSDT,170.4,386.8,295.1,1.311,"$1,094,163","$1,636,386",0.669,0.0000,2026-04-02 00:00,0.000575,2026-04-02,2026-04-02 01:00:00,4,3,2026-04-02 01:00:00,1.43,0.000563,-2.21%,2026-04-05,2026-04-05 00:55:00,0.000540,71.92,4.07%,4.8609,,4.6630,9.5239,0.0000,,,989.10,979.58,979.58,979.58,28353.23,是,中（改成20%）,弱（12%）,max_hold_time,0.0000%,5.0,4860.86,否,,,0.000556,-1.16%,2.83%,0.000544,-3.25%,3.87%,0.000532,-5.40%,6.34%,6.34%,6.34%,2.26%,,,1.4278,1.7933,0.7962,,,,
53,DRIFTUSDT,42.1,312.2,192.9,1.619,"$3,887,422","$3,912,359",0.994,0.0000,2026-04-01 23:00,0.047020,2026-04-02,2026-04-02 00:00:00,4,4,2026-04-02 00:00:00,1.74,0.046990,-0.06%,2026-04-02,2026-04-02 02:15:00,0.041821,2.25,11.00%,4.8609,,4.3262,9.1870,0.0000,,,2673.47,2664.29,2664.29,2664.29,31017.51,是,中（改成20%）,中（保持20%）,take_profit,-1.8114%,5.0,4860.86,否,,,0.043740,-6.92%,9.79%,0.048870,4.00%,21.26%,0.040520,,21.26%,28.81%,14.09%,0.85%,,11.0%,1.7352,1.7293,1.0034,,,,
54,FUNUSDT,33.8,42.7,55.2,0.774,"$956,326","$999,230",0.957,0.0000,2026-04-02 05:00,0.001225,2026-04-02,2026-04-02 06:00:00,5,4,2026-04-02 06:00:00,1.99,0.001223,-0.16%,2026-04-02,2026-04-02 08:00:00,0.001282,2.0,-4.82%,5.3671,,5.6260,10.9931,0.0000,,,-1294.59,-1305.59,-1305.59,-1305.59,29711.93,否,中（推断20%）,中（保持20%）,early_stop_loss,-0.0208%,5.0,5367.08,否,,,0.001275,4.25%,0.08%,0.001375,12.43%,0.08%,0.001408,,0.08%,0.08%,0.08%,4.50%,,,1.9904,1.9860,1.0022,,,,
55,NXPCUSDT,35.0,8.8,19.6,0.447,"$4,876,272","$4,901,474",0.995,0.0000,2026-04-02 07:00,0.280100,2026-04-02,2026-04-02 08:00:00,5,2,2026-04-02 08:00:00,0.80,0.280100,0.00%,2026-04-05,2026-04-05 07:55:00,0.274200,71.92,2.11%,5.1190,,5.0112,10.1302,0.0000,,,539.13,529.00,529.00,529.00,30240.93,否,中（改成20%）,弱（12%）,max_hold_time,0.0000%,5.0,5119.01,否,,,0.279100,-0.36%,0.71%,0.283700,1.29%,1.96%,0.282600,0.89%,1.96%,2.64%,2.64%,0.61%,,,0.8025,0.7989,1.0045,,,,
56,CTSIUSDT,63.0,18.3,19.9,0.917,"$5,506,840","$5,697,640",0.967,0.0000,2026-04-02 23:00,0.038300,2026-04-03,2026-04-03 00:00:00,5,4,2026-04-03 00:00:00,0.92,0.037900,-1.04%,2026-04-03,2026-04-03 00:10:00,0.042827,0.17,-13.00%,5.1190,,5.7845,10.9035,0.0000,,,-3327.36,-3338.26,-3338.26,-3338.26,26902.67,是,强（2h内默认）,强（保持30%）,stop_loss,-2.0058%,5.0,5119.01,否,,,0.037000,-2.37%,3.69%,0.038400,1.32%,7.92%,0.040400,,7.92%,7.92%,3.69%,16.09%,,,0.9246,0.8889,1.0402,,,,
57,PUFFERUSDT,100.5,10.8,9.7,1.106,"$1,857,285","$1,865,126",0.996,0.0000,2026-04-03 23:00,0.033610,2026-04-04,2026-04-04 00:00:00,5,3,2026-04-04 00:00:00,2.15,0.032910,-2.08%,2026-04-04,2026-04-04 05:10:00,0.037188,5.17,-13.00%,4.8249,,5.4521,10.2770,0.0000,,,-3136.17,-3146.45,-3146.45,-3146.45,23756.22,是,中（改成20%）,中（保持20%）,stop_loss,数据缺失,5.0,4824.88,否,,,0.032560,-1.06%,5.14%,0.037800,14.86%,5.14%,0.033920,,5.14%,20.60%,5.14%,5.68%,,,2.1496,2.0230,1.0626,,,,
58,POLYXUSDT,88.6,148.5,140.4,1.058,"$1,815,812","$3,529,692",0.514,0.0000,2026-04-04 00:00,0.052120,2026-04-04,2026-04-04 01:00:00,5,4,2026-04-04 01:00:00,1.00,0.051570,-1.06%,2026-04-07,2026-04-07 00:55:00,0.046050,71.92,10.70%,4.2271,,3.7746,8.0016,0.0000,,,2262.30,2254.29,2254.29,2254.29,26010.51,是,中（改成20%）,弱（12%）,max_hold_time,数据缺失,5.0,4227.05,否,,,0.052590,1.98%,1.80%,0.053300,3.35%,1.80%,0.051330,-0.47%,3.94%,10.98%,10.98%,4.13%,,,0.9968,1.0325,0.9654,,,,
59,HIPPOUSDT,80.9,20.5,12.0,1.713,"$1,533,456","$1,403,380",1.093,0.0000,2026-04-03 22:00,0.000360,2026-04-03,2026-04-03 23:00:00,5,3,2026-04-03 23:00:00,3.01,0.000359,-0.39%,2026-04-04,2026-04-04 07:20:00,0.000405,8.33,-13.00%,4.2271,,4.7766,9.0036,0.0000,,,-2747.58,-2756.59,-2756.59,-2756.59,23253.93,否,中（改成20%）,中（保持20%）,stop_loss,数据缺失,5.0,4227.05,否,,,0.000363,1.12%,1.48%,0.000433,20.83%,1.78%,0.000420,,1.78%,8.00%,1.78%,5.32%,,,3.0080,2.7580,1.0906,,,,
60,TUSDT,85.3,207.5,127.3,1.630,"$1,296,777","$1,506,237",0.861,0.0000,2026-04-05 00:00,0.006459,2026-04-05,2026-04-05 01:00:00,3,4,2026-04-05 01:00:00,2.12,0.006393,-1.02%,2026-04-08,2026-04-08 00:55:00,0.006278,71.92,1.80%,3.9899,,3.9182,7.9081,0.0000,,,358.86,350.95,350.95,350.95,23604.88,否,中（改成20%）,弱（12%）,max_hold_time,-1.5167%,5.0,3989.93,否,,,0.006366,-0.42%,2.33%,0.006050,-5.37%,5.57%,0.006094,-4.68%,6.38%,6.48%,6.48%,1.30%,,,2.1172,2.3659,0.8949,,,,
61,MAGICUSDT,79.0,21.1,22.4,0.938,"$3,052,539","$2,785,658",1.096,0.0000,2026-04-03 11:00,0.064180,2026-04-03,2026-04-03 12:00:00,5,4,2026-04-03 12:00:00,1.56,0.061800,-3.71%,2026-04-06,2026-04-06 11:55:00,0.057950,71.92,6.23%,3.9899,,3.7414,7.7313,0.0000,,,1242.82,1235.09,1235.09,1235.09,24839.97,否,中（改成20%）,弱（12%）,max_hold_time,-0.1927%,5.0,3989.93,否,,,0.059940,-3.01%,3.40%,0.059160,-4.27%,4.82%,0.060470,-2.15%,5.47%,9.32%,9.32%,4.35%,,,1.5634,1.5445,1.0122,,,,
62,JTOUSDT,71.6,11.5,14.5,0.794,"$5,004,197","$6,400,455",0.782,0.0000,2026-04-04 13:00,0.272000,2026-04-04,2026-04-04 14:00:00,5,3,2026-04-04 14:00:00,0.65,0.272900,0.33%,2026-04-07,2026-04-07 13:55:00,0.264700,71.92,3.00%,3.9899,,3.8700,7.8600,0.0000,,,599.44,591.58,591.58,591.58,25431.55,否,中（改成20%）,弱（12%）,max_hold_time,数据缺失,5.0,3989.93,否,,,0.274300,0.51%,1.25%,0.270500,-0.88%,1.65%,0.263300,-3.52%,4.29%,4.29%,4.29%,0.77%,,,0.6474,0.6731,0.9618,,,,
63,1000000BOBUSDT,57.7,39.0,65.1,0.599,"$619,204","$812,640",0.762,0.0000,2026-04-03 07:00,0.012020,2026-04-03,2026-04-03 08:00:00,5,4,2026-04-03 08:00:00,4.40,0.011860,-1.33%,2026-04-06,2026-04-06 07:55:00,0.011720,71.92,1.18%,3.9899,,3.9428,7.9328,0.0000,,,235.49,227.56,227.56,227.56,25659.11,否,中（改成20%）,弱（12%）,max_hold_time,0.0000%,5.0,3989.93,否,,,0.011730,-1.10%,2.28%,0.011220,-5.40%,7.93%,0.011120,-6.24%,9.87%,9.87%,9.87%,1.60%,,,4.3996,4.9277,0.8928,,,,
64,CHRUSDT,30.4,5.0,5.4,0.931,"$2,407,232","$3,026,676",0.795,0.0000,2026-04-03 02:00,0.019900,2026-04-03,2026-04-03 03:00:00,5,4,2026-04-03 03:00:00,2.41,0.020200,1.51%,2026-04-03,2026-04-03 07:20:00,0.017978,4.33,11.00%,4.2678,,3.7984,8.0662,0.0000,,,2347.31,2339.24,2339.24,2339.24,27998.35,否,中（改成20%）,中（保持20%）,take_profit,0.0000%,5.0,4267.83,否,,,0.018300,-9.41%,10.40%,0.019000,-5.94%,12.38%,0.018400,,15.35%,15.35%,12.38%,3.47%,,11.0%,2.4060,2.4518,0.9813,,,,
65,ORDERUSDT,164.4,123.2,83.3,1.478,"$2,667,989","$3,026,974",0.881,0.0000,2026-04-06 07:00,0.061290,2026-04-06,2026-04-06 08:00:00,5,4,2026-04-06 08:00:00,1.25,0.060170,-1.83%,2026-04-07,2026-04-07 00:00:00,0.053551,16.0,11.00%,4.7123,,4.1939,8.9062,0.0000,,,2591.76,2582.85,2582.85,2582.85,30581.20,是,中（改成20%）,弱（12%）,take_profit,-1.3416%,5.0,4712.29,否,,,0.056650,-5.85%,6.37%,0.055790,-7.28%,9.12%,0.052810,,14.72%,15.56%,12.70%,2.13%,,11.0%,1.2543,1.3223,0.9486,,,,
66,SUPERUSDT,132.3,20.5,28.3,0.724,"$2,248,735","$3,637,630",0.618,0.0000,2026-04-06 11:00,0.107100,2026-04-06,2026-04-06 12:00:00,5,4,2026-04-06 12:00:00,0.92,0.105600,-1.40%,2026-04-06,2026-04-06 12:35:00,0.119328,0.58,-13.00%,4.7123,,5.3249,10.0372,0.0000,,,-3062.99,-3073.03,-3073.03,-3073.03,27508.18,是,强（2h内默认）,强（保持30%）,stop_loss,-3.8111%,5.0,4712.29,否,,,0.126400,19.70%,1.61%,0.116500,10.32%,1.61%,0.116600,,1.61%,1.61%,1.61%,29.45%,,,0.9175,0.7803,1.1758,,,,
67,BREVUSDT,129.6,13.0,14.6,0.895,"$1,865,020","$2,558,358",0.729,0.0000,2026-04-06 12:00,0.122500,2026-04-06,2026-04-06 13:00:00,5,4,2026-04-06 13:00:00,2.06,0.121900,-0.49%,2026-04-09,2026-04-09 12:55:00,0.115800,71.92,5.00%,4.1284,,3.9218,8.0502,0.0000,,,1032.95,1024.90,1024.90,1024.90,28533.08,是,中（改成20%）,弱（12%）,max_hold_time,-1.6990%,5.0,4128.41,否,,,0.120900,-0.82%,1.89%,0.114700,-5.91%,6.89%,0.113700,-6.73%,8.61%,9.52%,9.52%,12.14%,,,2.0600,2.0460,1.0068,,,,
68,FUSDT,124.8,109.0,65.8,1.657,"$1,636,230","$3,102,394",0.527,0.0000,2026-04-07 00:00,0.005877,2026-04-07,2026-04-07 01:00:00,4,3,2026-04-07 01:00:00,1.81,0.005878,0.02%,2026-04-07,2026-04-07 03:20:00,0.005173,2.33,12.00%,5.1599,,4.5407,9.7006,0.0000,,,3095.92,3086.22,3086.22,3086.22,31619.30,是,强（保持30%）,强（保持30%）,take_profit,-0.6078%,5.0,5159.87,否,,,0.005241,-10.84%,11.40%,0.005105,-13.15%,14.26%,0.005234,,14.26%,14.26%,12.64%,0.85%,,12.0%,1.8082,2.1476,0.8420,,,,
69,ANIMEUSDT,34.7,17.9,18.4,0.973,"$2,640,114","$2,940,982",0.898,0.0000,2026-04-07 00:00,0.004635,2026-04-07,2026-04-07 01:00:00,5,4,2026-04-07 01:00:00,0.60,0.004639,0.09%,2026-04-10,2026-04-10 00:55:00,0.004625,71.92,0.30%,5.7463,,5.7289,11.4752,0.0000,,,86.71,75.23,75.23,75.23,31694.54,否,中（改成20%）,弱（12%）,max_hold_time,-0.2799%,5.0,5746.26,否,,,0.004514,-2.69%,3.75%,0.004512,-2.74%,3.75%,0.004649,0.22%,4.31%,4.31%,4.31%,0.32%,,,0.5972,0.5501,1.0856,,,,
70,GTCUSDT,79.5,21.3,18.1,1.176,"$1,520,812","$1,447,873",1.050,0.0000,2026-04-07 05:00,0.080000,2026-04-07,2026-04-07 06:00:00,5,3,2026-04-07 06:00:00,2.83,0.078000,-2.50%,2026-04-10,2026-04-10 05:55:00,0.077700,71.92,0.38%,5.7463,,5.7242,11.4704,0.0000,,,110.50,99.03,99.03,99.03,31793.57,否,中（改成20%）,弱（12%）,max_hold_time,0.0000%,5.0,5746.26,否,,,0.076200,-2.31%,5.13%,0.075900,-2.69%,5.13%,0.082800,6.15%,5.13%,5.13%,5.13%,3.85%,,,2.8300,2.6590,1.0643,,,,
71,FOLKSUSDT,62.1,8.7,9.2,0.941,"$3,927,070","$3,478,413",1.129,0.0000,2026-04-07 13:00,0.937000,2026-04-07,2026-04-07 14:00:00,5,2,2026-04-07 14:00:00,3.32,0.930000,-0.75%,2026-04-10,2026-04-10 13:55:00,0.887000,71.92,4.62%,5.7463,,5.4806,11.2268,0.0000,,,1328.44,1317.21,1317.21,1317.21,33110.78,否,中（改成20%）,弱（12%）,max_hold_time,0.0000%,5.0,5746.26,否,,,0.925000,-0.54%,1.51%,0.913000,-1.83%,4.41%,0.935000,0.54%,4.41%,9.46%,9.46%,2.69%,,,3.3159,2.7594,1.2017,,,,
