序号,交易对,卖量暴涨倍数,当日买量倍数,当日卖量倍数,买卖量比值,信号时未平仓量,建仓时未平仓量,未平仓量比率,买量加速度,信号时间,信号价,建仓日期,建仓具体时间,建仓后持仓数,平仓后持仓数,建仓5分钟时刻,建仓时多空比,建仓价,建仓涨幅%,平仓日期,平仓具体时间,平仓价,持仓小时数,盈亏百分比,建仓手续费,补仓手续费,平仓手续费,交易手续费合计,资金费,资金费次数,平均费率%,盈亏金额,扣交易费后,最终净盈亏,真实盈亏金额,余额,连续爆,2小时判断,12小时判断,平仓原因,基差%,杠杆倍数,仓位金额,是否有补仓,补仓价格,补仓后平均价,2h收盘价,2h涨幅%,2h最大跌幅%,12h收盘价,12h涨幅%,12h最大跌幅%,24h收盘价,24小时涨幅%,24h最大跌幅%,72h最大跌幅%,最大跌幅%,2小时最大涨幅%,24小时最大涨幅%,止盈阈值%,建仓时账户多空比,信号时账户多空比,多空比变化率,当前5m时间,当前5m收盘价,当前浮盈金额,当前浮盈百分比
11,BOBUSDT,101.2,12.0,9.7,1.240,"$1,216,542","$1,375,870",0.884,0.0000,2026-03-21 23:00,0.006037,2026-03-22,2026-03-22 00:00:00,5,3,2026-03-22 00:00:00,1.92,0.005968,-1.14%,2026-03-24,2026-03-24 23:55:00,0.005639,71.92,5.51%,2.0184,,1.9071,3.9254,0.0000,,,556.33,552.41,552.41,552.41,11175.32,是,中（改成20%）,弱（12%）,max_hold_time,-1.1499%,5.0,2018.35,否,,,0.005940,-0.47%,1.86%,0.005676,-4.89%,5.95%,0.005567,-6.72%,7.66%,9.50%,9.50%,5.70%,,,1.9206,2.1576,0.8902,,,,
12,IMXUSDT,62.9,14.9,8.5,1.755,"$3,003,478","$4,161,586",0.722,0.0000,2026-03-22 00:00,0.166400,2026-03-22,2026-03-22 01:00:00,5,2,2026-03-22 01:00:00,1.39,0.161500,-2.94%,2026-03-25,2026-03-25 00:55:00,0.153500,71.92,4.95%,2.0184,,1.9184,3.9367,0.0000,,,499.90,495.97,495.97,495.97,11671.29,否,中（改成20%）,弱（12%）,max_hold_time,-0.6928%,5.0,2018.35,否,,,0.164000,1.55%,1.67%,0.160800,-0.43%,1.67%,0.153600,-4.89%,5.82%,7.80%,7.80%,3.16%,,,1.3929,1.3821,1.0078,,,,
13,BANANAS31USDT,34.5,15.2,13.4,1.137,"$30,405,672","$35,975,408",0.845,0.0000,2026-03-22 07:00,0.011935,2026-03-22,2026-03-22 08:00:00,5,3,2026-03-22 08:00:00,0.50,0.012024,0.75%,2026-03-22,2026-03-22 10:45:00,0.013587,2.75,-13.00%,2.0184,,2.2807,4.2991,0.0000,,,-1311.93,-1316.23,-1316.23,-1316.23,10355.06,是,中（推断20%）,中（保持20%）,stop_loss,0.1625%,5.0,2018.35,否,,,0.012976,7.92%,2.73%,0.013385,11.32%,2.73%,0.013513,,2.73%,2.73%,2.73%,12.28%,,,0.4995,0.4476,1.1160,,,,
14,DUSKUSDT,32.6,52.8,32.2,1.638,"$4,437,684","$5,805,878",0.764,0.0000,2026-03-22 09:00,0.091220,2026-03-22,2026-03-22 10:00:00,5,2,2026-03-22 10:00:00,0.73,0.091150,-0.08%,2026-03-22,2026-03-22 12:00:00,0.095390,2.0,-4.65%,1.7683,,1.8505,3.6188,0.0000,,,-411.27,-414.89,-414.89,-414.89,9940.17,否,中（推断20%）,中（保持20%）,early_stop_loss,-0.5333%,5.0,1768.27,否,,,0.095150,4.39%,0.55%,0.093860,2.97%,0.55%,0.095040,,0.55%,0.55%,0.55%,5.41%,,,0.7256,0.7931,0.9149,,,,
15,TREEUSDT,48.8,81.9,26.8,3.051,"$1,118,913","$1,206,389",0.927,0.0000,2026-03-22 11:00,0.063330,2026-03-22,2026-03-22 12:00:00,3,1,2026-03-22 12:00:00,2.10,0.063320,-0.02%,2026-03-25,2026-03-25 11:55:00,0.064330,71.92,-1.60%,1.6894,,1.7164,3.4058,0.0000,,,-134.74,-138.14,-138.14,-138.14,9802.02,否,中（改成20%）,弱（12%）,max_hold_time,0.0000%,5.0,1689.44,否,,,0.063620,0.47%,0.25%,0.062870,-0.71%,1.99%,0.063210,-0.17%,3.68%,3.68%,3.68%,0.98%,,,2.1008,2.0423,1.0286,,,,
16,XPTUSDT,53.9,13.8,13.9,0.987,"$2,494,735","$2,317,041",1.077,0.0000,2026-03-23 06:00,1790.100000,2026-03-23,2026-03-23 07:00:00,4,3,2026-03-23 07:00:00,1.95,1786.960000,-0.18%,2026-03-23,2026-03-23 18:55:00,1888.600000,11.92,-5.69%,1.6894,,1.7855,3.4750,0.0000,,,-480.47,-483.94,-483.94,-483.94,9318.08,否,中（改成20%）,中（保持20%）,early_stop_loss_12h,0.0000%,5.0,1689.44,否,,,1811.750000,1.39%,1.68%,1888.600000,5.69%,1.68%,1886.500000,,1.68%,1.68%,1.68%,2.24%,,,1.9507,2.0048,0.9730,,,,
17,XAUUSDT,33.3,24.2,13.2,1.836,"$375,197,024","$432,568,074",0.867,0.0000,2026-03-23 07:00,4209.860000,2026-03-23,2026-03-23 08:00:00,5,3,2026-03-23 08:00:00,5.89,4227.670000,0.42%,2026-03-23,2026-03-23 19:55:00,4401.500000,11.92,-4.11%,1.5975,,1.6632,3.2607,0.0000,,,-328.42,-331.68,-331.68,-331.68,8986.40,否,中（改成20%）,中（保持20%）,early_stop_loss_12h,0.0822%,5.0,1597.49,否,,,4259.640000,0.76%,0.47%,4401.500000,4.11%,0.47%,4419.160000,,0.47%,0.47%,0.47%,1.96%,,,5.8918,6.2046,0.9496,,,,
18,BTRUSDT,40.6,8.9,9.2,0.973,"$4,069,876","$4,049,168",1.005,0.0000,2026-03-23 18:00,0.040280,2026-03-23,2026-03-23 19:00:00,5,4,2026-03-23 19:00:00,1.77,0.039700,-1.44%,2026-03-23,2026-03-23 19:30:00,0.034936,0.5,12.00%,1.5345,,1.3503,2.8848,0.0000,,,920.68,917.80,917.80,917.80,9904.20,是,强（2h内默认）,强（保持30%）,take_profit,0.0324%,5.0,1534.47,否,,,0.037440,-5.69%,20.35%,0.042400,6.80%,20.35%,0.035610,,20.35%,20.35%,20.35%,2.29%,,,1.7739,1.7941,0.9887,,,,
19,JTOUSDT,48.0,15.1,17.5,0.863,"$7,330,049","$8,149,050",0.899,0.0000,2026-03-23 19:00,0.344600,2026-03-23,2026-03-23 20:00:00,4,2,2026-03-23 20:00:00,1.22,0.346700,0.61%,2026-03-26,2026-03-26 19:55:00,0.313200,71.92,9.66%,1.7089,,1.5437,3.2526,0.0000,,,825.59,822.34,822.34,822.34,10726.54,是,中（改成20%）,弱（12%）,max_hold_time,-1.0942%,5.0,1708.85,否,,,0.334400,-3.55%,4.38%,0.323100,-6.81%,7.53%,0.319100,-7.96%,10.82%,10.82%,10.82%,0.84%,,,1.2242,1.2129,1.0093,,,,
20,NAORISUSDT,49.1,66.9,59.8,1.119,"$8,549,413","$16,240,915",0.526,0.0000,2026-03-24 02:00,0.093400,2026-03-24,2026-03-24 03:00:00,5,4,2026-03-24 03:00:00,0.41,0.086470,-7.42%,2026-03-24,2026-03-24 03:55:00,0.076094,0.92,12.00%,1.8138,,1.5962,3.4100,0.0000,,,1088.29,1084.88,1084.88,1084.88,11811.42,是,强（2h内默认）,强（保持30%）,take_profit,0.2278%,5.0,1813.81,否,,,0.066880,-22.66%,28.44%,0.066660,-22.91%,28.44%,0.060500,,39.19%,39.19%,15.29%,12.34%,,,0.4112,0.4577,0.8984,,,,
