symbol,signal_id,buy_surge_ratio,signal_time,signal_date,earliest_entry_time,signal_price,target_drop_pct,target_price,wait_deadline_utc,status,entry_time,entry_price,note
ONGUSDT,ONGUSDT_202603241000,61.53218954846742,2026-03-24 10:00:00,2026-03-24 10:00,2026-03-24 11:00:00,0.06465,0.0,0.06465,2026-03-29 11:00:00,entered,2026-03-24 11:05:00,0.066220,触发目标价并建仓（理论0.064650，实际0.066220）
TRADOORUSDT,TRADOORUSDT_202603241600,63.42653409239971,2026-03-24 16:00:00,2026-03-24 16:00,2026-03-24 17:00:00,2.158,0.0,2.158,2026-03-29 17:00:00,entered,2026-03-24 17:05:00,2.187000,触发目标价并建仓（理论2.158000，实际2.187000）
CUSDT,CUSDT_202603241600,43.41891024154459,2026-03-24 16:00:00,2026-03-24 16:00,2026-03-24 17:00:00,0.06093,0.0,0.06093,2026-03-29 17:00:00,wait_window_expired,,,等待窗口已届满（earliest_entry+120h 截止）：窗口内仍未触发建仓。常见原因：反弹目标价未触及、资金或日内/小时额度不足、候选按倍数排序较后等。
RIFUSDT,RIFUSDT_202603241600,41.23950058684815,2026-03-24 16:00:00,2026-03-24 16:00,2026-03-24 17:00:00,0.03933,0.0,0.03933,2026-03-29 17:00:00,wait_window_expired,,,等待窗口已届满（earliest_entry+120h 截止）：窗口内仍未触发建仓。常见原因：反弹目标价未触及、资金或日内/小时额度不足、候选按倍数排序较后等。
AXLUSDT,AXLUSDT_202603250000,65.77648579102271,2026-03-25 00:00:00,2026-03-25 00:00,2026-03-25 01:00:00,0.05332,0.0,0.05332,2026-03-30 01:00:00,entered,2026-03-25 01:05:00,0.052650,触发目标价并建仓（理论0.053320，实际0.052650）
MUSDT,MUSDT_202603251400,80.04177558825518,2026-03-25 14:00:00,2026-03-25 14:00,2026-03-25 15:00:00,2.6138,0.0,2.6138,2026-03-30 15:00:00,entered,2026-03-25 15:05:00,2.397300,触发目标价并建仓（理论2.613800，实际2.397300）
MEMEUSDT,MEMEUSDT_202603260600,61.700723909521365,2026-03-26 06:00:00,2026-03-26 06:00,2026-03-26 07:00:00,0.000579,0.0,0.000579,2026-03-31 07:00:00,entered,2026-03-26 07:05:00,0.000585,触发目标价并建仓（理论0.000579，实际0.000585）
KNCUSDT,KNCUSDT_202603261000,69.46881386915568,2026-03-26 10:00:00,2026-03-26 10:00,2026-03-26 11:00:00,0.1371,0.0,0.1371,2026-03-31 11:00:00,entered,2026-03-26 11:05:00,0.138200,触发目标价并建仓（理论0.137100，实际0.138200）
DYMUSDT,DYMUSDT_202603261100,49.01168687338711,2026-03-26 11:00:00,2026-03-26 11:00,2026-03-26 12:00:00,0.03015,0.0,0.03015,2026-03-31 12:00:00,entered,2026-03-26 12:05:00,0.029750,触发目标价并建仓（理论0.030150，实际0.029750）
ONUSDT,ONUSDT_202603261600,76.15396059684265,2026-03-26 16:00:00,2026-03-26 16:00,2026-03-26 17:00:00,0.11859,0.0,0.11859,2026-03-31 17:00:00,entered,2026-03-26 17:05:00,0.119100,触发目标价并建仓（理论0.118590，实际0.119100）
ROBOUSDT,ROBOUSDT_202603261600,54.976715650288504,2026-03-26 16:00:00,2026-03-26 16:00,2026-03-26 17:00:00,0.024,0.0,0.024,2026-03-31 17:00:00,wait_window_expired,,,等待窗口已届满（earliest_entry+120h 截止）：窗口内仍未触发建仓。常见原因：反弹目标价未触及、资金或日内/小时额度不足、候选按倍数排序较后等。
BLESSUSDT,BLESSUSDT_202603261600,34.7041114082533,2026-03-26 16:00:00,2026-03-26 16:00,2026-03-26 17:00:00,0.005843,0.0,0.005843,2026-03-31 17:00:00,wait_window_expired,,,等待窗口已届满（earliest_entry+120h 截止）：窗口内仍未触发建仓。常见原因：反弹目标价未触及、资金或日内/小时额度不足、候选按倍数排序较后等。
BLUAIUSDT,BLUAIUSDT_202603262300,35.11970173899436,2026-03-26 23:00:00,2026-03-26 23:00,2026-03-27 00:00:00,0.010031,0.0,0.010031,2026-04-01 00:00:00,entered,2026-03-27 00:05:00,0.010109,触发目标价并建仓（理论0.010031，实际0.010109）
STGUSDT,STGUSDT_202603270300,37.81602798323193,2026-03-27 03:00:00,2026-03-27 03:00,2026-03-27 04:00:00,0.2745,0.0,0.2745,2026-04-01 04:00:00,entered,2026-03-27 04:05:00,0.270700,触发目标价并建仓（理论0.274500，实际0.270700）
KNCUSDT,KNCUSDT_202603270600,49.762130708546685,2026-03-27 06:00:00,2026-03-27 06:00,2026-03-27 07:00:00,0.1849,0.0,0.1849,2026-04-01 07:00:00,entered,2026-03-27 07:05:00,0.184600,触发目标价并建仓（理论0.184900，实际0.184600）
KAVAUSDT,KAVAUSDT_202603270600,38.86675000394801,2026-03-27 06:00:00,2026-03-27 06:00,2026-03-27 07:00:00,0.0573,0.0,0.0573,2026-04-01 07:00:00,wait_window_expired,,,等待窗口已届满（earliest_entry+120h 截止）：窗口内仍未触发建仓。常见原因：反弹目标价未触及、资金或日内/小时额度不足、候选按倍数排序较后等。
B3USDT,B3USDT_202603270900,70.46790814439923,2026-03-27 09:00:00,2026-03-27 09:00,2026-03-27 10:00:00,0.0003596,0.0,0.0003596,2026-04-01 10:00:00,entered,2026-03-27 10:05:00,0.000359,触发目标价并建仓（理论0.000360，实际0.000359）
LDOUSDT,LDOUSDT_202603271500,37.63374270394098,2026-03-27 15:00:00,2026-03-27 15:00,2026-03-27 16:00:00,0.286,0.0,0.286,2026-04-01 16:00:00,entered,2026-03-27 16:05:00,0.285800,触发目标价并建仓（理论0.286000，实际0.285800）
ONUSDT,ONUSDT_202603271600,37.668797060305785,2026-03-27 16:00:00,2026-03-27 16:00,2026-03-27 17:00:00,0.20386,0.0,0.20386,2026-04-01 17:00:00,wait_window_expired,,,等待窗口已届满（earliest_entry+120h 截止）：窗口内仍未触发建仓。常见原因：反弹目标价未触及、资金或日内/小时额度不足、候选按倍数排序较后等。
QUSDT,QUSDT_202603272200,42.33301714184401,2026-03-27 22:00:00,2026-03-27 22:00,2026-03-27 23:00:00,0.012922,0.0,0.012922,2026-04-01 23:00:00,superseded_stronger_hour,,,被更强卖量信号覆盖(旧42.33x → 新80.74x，新信号UTC 2026-03-28 00:00)
QUSDT,QUSDT_202603280000,80.73759143974029,2026-03-28 00:00:00,2026-03-28 00:00,2026-03-28 01:00:00,0.013825,0.0,0.013825,2026-04-02 01:00:00,entered,2026-03-28 01:05:00,0.013562,触发目标价并建仓（理论0.013825，实际0.013562）
NOMUSDT,NOMUSDT_202603281100,40.43012351235525,2026-03-28 11:00:00,2026-03-28 11:00,2026-03-28 12:00:00,0.002349,0.0,0.002349,2026-04-02 12:00:00,entered,2026-03-28 12:05:00,0.002290,触发目标价并建仓（理论0.002349，实际0.002290）
PTBUSDT,PTBUSDT_202603281200,41.554911948572396,2026-03-28 12:00:00,2026-03-28 12:00,2026-03-28 13:00:00,0.001313,0.0,0.001313,2026-04-02 13:00:00,entered,2026-03-28 13:05:00,0.001213,触发目标价并建仓（理论0.001313，实际0.001213）
HEMIUSDT,HEMIUSDT_202603281700,39.335381623591786,2026-03-28 17:00:00,2026-03-28 17:00,2026-03-28 18:00:00,0.006367,0.0,0.006367,2026-04-02 18:00:00,entered,2026-03-28 18:05:00,0.006227,触发目标价并建仓（理论0.006367，实际0.006227）
PLAYUSDT,PLAYUSDT_202603282100,48.930579416858336,2026-03-28 21:00:00,2026-03-28 21:00,2026-03-28 22:00:00,0.05201,0.0,0.05201,2026-04-02 22:00:00,entered,2026-03-28 22:05:00,0.051420,触发目标价并建仓（理论0.052010，实际0.051420）
CKBUSDT,CKBUSDT_202603290000,85.7536770132098,2026-03-29 00:00:00,2026-03-29 00:00,2026-03-29 01:00:00,0.001388,0.0,0.001388,2026-04-03 01:00:00,entered,2026-03-29 01:05:00,0.001377,触发目标价并建仓（理论0.001388，实际0.001377）
VANAUSDT,VANAUSDT_202603290000,82.8336560908944,2026-03-29 00:00:00,2026-03-29 00:00,2026-03-29 01:00:00,1.283,0.0,1.283,2026-04-03 01:00:00,wait_window_expired,,,等待窗口已届满（earliest_entry+120h 截止）：窗口内仍未触发建仓。常见原因：反弹目标价未触及、资金或日内/小时额度不足、候选按倍数排序较后等。
BSVUSDT,BSVUSDT_202603290000,57.45617025888118,2026-03-29 00:00:00,2026-03-29 00:00,2026-03-29 01:00:00,13.73,0.0,13.73,2026-04-03 01:00:00,wait_window_expired,,,等待窗口已届满（earliest_entry+120h 截止）：窗口内仍未触发建仓。常见原因：反弹目标价未触及、资金或日内/小时额度不足、候选按倍数排序较后等。
