序号,交易对,卖量暴涨倍数,当日买量倍数,当日卖量倍数,买卖量比值,信号时未平仓量,建仓时未平仓量,未平仓量比率,买量加速度,信号时间,信号价,建仓日期,建仓具体时间,建仓5分钟时刻,建仓时多空比,建仓价,建仓涨幅%,平仓日期,平仓具体时间,平仓价,持仓小时数,盈亏百分比,建仓手续费,补仓手续费,平仓手续费,交易手续费合计,资金费,资金费次数,平均费率%,盈亏金额,扣交易费后,最终净盈亏,真实盈亏金额,余额,连续爆,2小时判断,12小时判断,平仓原因,基差%,杠杆倍数,仓位金额,是否有补仓,补仓价格,补仓后平均价,2h收盘价,2h涨幅%,2h最大跌幅%,12h收盘价,12h涨幅%,12h最大跌幅%,24h收盘价,24小时涨幅%,24h最大跌幅%,72h最大跌幅%,最大跌幅%,2小时最大涨幅%,24小时最大涨幅%,止盈阈值%,建仓时账户多空比,信号时账户多空比,多空比变化率,当前5m时间,当前5m收盘价,当前浮盈金额,当前浮盈百分比
14,RESOLVUSDT,30.9,16.8,18.7,0.900,"$5,331,917","$5,751,124",0.927,0.0000,2026-03-22 03:00,0.058060,2026-03-22,2026-03-22 04:00:00,2026-03-22 04:00:00,0.66,0.057510,-0.95%,2026-03-22,2026-03-22 09:20:00,0.051184,5.33,11.00%,1.6665,,1.4832,3.1497,0.0000,,,916.59,913.44,913.44,913.44,13226.96,是,中（改成20%）,中（保持20%）,take_profit,-2.0871%,4.0,2083.16,否,,,0.055290,-3.86%,7.01%,0.055530,-3.44%,12.99%,0.056050,,12.99%,20.33%,12.99%,0.97%,,11.0%,0.6614,0.6731,0.9826,,,,
15,RESOLVUSDT,31.6,16.8,18.7,0.900,"$5,751,124","$6,099,165",0.943,0.0000,2026-03-22 04:00,0.054630,2026-03-22,2026-03-22 05:00:00,2026-03-22 05:00:00,0.64,0.054620,-0.02%,2026-03-24,2026-03-24 01:25:00,0.049158,44.42,10.00%,1.8054,,1.6248,3.4302,0.0000,,,902.69,899.26,899.26,899.26,14126.21,否,中（改成20%）,弱（12%）,take_profit,-1.3155%,4.0,2256.71,否,,,0.054000,-1.14%,1.98%,0.054080,-0.99%,8.39%,0.056350,3.17%,8.39%,16.11%,10.98%,2.11%,,10.0%,0.6418,0.6614,0.9704,,,,
16,NAORISUSDT,49.1,66.9,59.8,1.119,"$8,549,413","$16,240,915",0.526,0.0000,2026-03-24 02:00,0.093400,2026-03-24,2026-03-24 03:00:00,2026-03-24 03:00:00,0.41,0.086470,-7.42%,2026-03-24,2026-03-24 03:55:00,0.076094,0.92,12.00%,2.0897,,1.8390,3.9287,0.0000,,,1253.84,1249.91,1249.91,1249.91,15376.12,是,强（2h内默认）,强（保持30%）,take_profit,0.2278%,4.0,2612.16,否,,,0.066880,-22.66%,28.44%,0.066660,-22.91%,28.44%,0.060500,,39.19%,39.19%,15.29%,12.34%,,,0.4112,0.4577,0.8984,,,,
17,NMRUSDT,39.1,45.5,80.8,0.564,"$2,393,900","$2,765,721",0.866,0.0000,2026-03-24 02:00,7.063000,2026-03-24,2026-03-24 03:00:00,2026-03-24 03:00:00,1.09,6.990000,-1.03%,2026-03-27,2026-03-27 02:55:00,6.889000,71.92,1.44%,2.2797,,2.2468,4.5265,0.0000,,,164.70,160.17,160.17,160.17,15536.29,否,中（改成20%）,弱（12%）,max_hold_time,-0.0061%,4.0,2849.64,否,,,6.922000,-0.97%,3.51%,6.873000,-1.67%,3.51%,6.962000,-0.40%,3.51%,4.18%,4.18%,1.26%,,,1.0938,1.1290,0.9688,,,,
18,NAORISUSDT,71.3,66.9,59.8,1.119,"$16,240,915","$13,784,962",1.178,0.0000,2026-03-24 03:00,0.073980,2026-03-24,2026-03-24 04:00:00,2026-03-24 04:00:00,0.60,0.069590,-5.93%,2026-03-24,2026-03-24 15:55:00,0.061935,11.92,11.00%,2.2797,,2.0289,4.3087,0.0000,,,1253.84,1249.53,1249.53,1249.53,16785.83,是,中（改成20%）,中（保持20%）,take_profit,0.0000%,4.0,2849.64,否,,,0.070100,0.73%,11.08%,0.061330,-11.87%,24.44%,0.060480,,24.44%,24.44%,14.46%,6.80%,,11.0%,0.6026,0.4112,1.4655,,,,
19,NAORISUSDT,47.8,66.9,59.8,1.119,"$13,784,962","$12,122,283",1.137,0.0000,2026-03-24 04:00,0.066880,2026-03-24,2026-03-24 05:00:00,2026-03-24 05:00:00,0.70,0.068580,2.54%,2026-03-24,2026-03-24 15:55:00,0.061036,10.92,11.00%,2.4696,,2.1980,4.6676,0.0000,,,1358.30,1353.63,1353.63,1353.63,18139.46,否,中（改成20%）,中（保持20%）,take_profit,0.1572%,4.0,3087.05,否,,,0.069960,2.01%,3.43%,0.059750,-12.88%,23.33%,0.061180,,23.33%,23.33%,13.20%,5.96%,,11.0%,0.6987,0.6026,1.1595,,,,
20,IOTXUSDT,44.7,71.9,57.3,1.255,"$1,684,547","$2,205,164",0.764,0.0000,2026-03-24 07:00,0.005800,2026-03-24,2026-03-24 08:00:00,2026-03-24 08:00:00,1.89,0.005820,0.34%,2026-03-24,2026-03-24 13:45:00,0.005238,5.75,10.00%,2.6754,,2.4079,5.0832,0.0000,,,1337.70,1332.61,1332.61,1332.61,19472.07,否,中（改成20%）,中（保持20%）,take_profit,-0.2245%,4.0,3344.24,否,,,0.005440,-6.53%,7.56%,0.005360,-7.90%,10.14%,0.005310,,10.14%,15.98%,10.14%,1.37%,,10.0%,1.8927,2.3278,0.8131,,,,
21,ONTUSDT,78.6,1.4,1.4,1.033,"$14,629,290","$14,562,787",1.005,0.0000,2026-03-24 23:00,0.059700,2026-03-25,2026-03-25 00:00:00,2026-03-25 00:00:00,0.90,0.058500,-2.01%,2026-03-25,2026-03-25 00:40:00,0.067860,0.67,-16.00%,2.9354,,3.4051,6.3405,0.0000,,,-2348.33,-2354.67,-2354.67,-2354.67,17117.41,是,强（2h内默认）,强（保持30%）,stop_loss,-4.0971%,4.0,3669.26,否,,,0.065800,12.48%,0.68%,0.063700,8.89%,0.68%,0.058800,,5.13%,14.87%,0.68%,29.23%,,,0.8957,0.9095,0.9848,,,,
22,AXLUSDT,65.8,106.5,79.8,1.335,"$2,381,774","$3,047,202",0.782,0.0000,2026-03-25 00:00,0.053320,2026-03-25,2026-03-25 01:25:00,2026-03-25 01:25:00,0.87,0.052650,-1.26%,2026-03-26,2026-03-26 20:05:00,0.046859,42.67,11.00%,2.5775,,2.2940,4.8715,0.0000,,,1417.62,1412.75,1412.75,1412.75,18530.16,是,中（改成20%）,弱（12%）,take_profit,-0.6204%,4.0,3221.87,否,,,0.052600,-0.09%,1.54%,0.051290,-2.58%,3.23%,0.050000,-4.62%,5.64%,12.27%,11.02%,1.35%,,11.0%,0.8748,0.8765,,,,,
23,HIPPOUSDT,66.6,179.0,22.9,7.802,"$1,343,860","$1,912,311",0.703,0.0000,2026-03-25 03:00,0.000609,2026-03-25,2026-03-25 04:00:00,2026-03-25 04:00:00,2.79,0.000628,3.05%,2026-03-25,2026-03-25 06:55:00,0.000579,2.92,7.87%,2.5775,,2.3747,4.9522,0.0000,,,1013.76,1008.81,1008.81,1008.81,19538.97,是,中（推断20%）,中（保持20%）,early_stop_loss,0.0000%,4.0,3221.87,否,,,0.000669,6.53%,7.64%,0.000636,1.21%,15.61%,0.000607,,15.61%,19.76%,15.61%,6.69%,,,2.7879,3.8008,0.7335,,,,
