序号,交易对,卖量暴涨倍数,当日买量倍数,当日卖量倍数,买卖量比值,信号时未平仓量,建仓时未平仓量,未平仓量比率,买量加速度,信号时间,信号价,建仓日期,建仓具体时间,建仓5分钟时刻,建仓时多空比,建仓价,建仓涨幅%,平仓日期,平仓具体时间,平仓价,持仓小时数,盈亏百分比,建仓手续费,补仓手续费,平仓手续费,交易手续费合计,资金费,资金费次数,平均费率%,盈亏金额,扣交易费后,最终净盈亏,真实盈亏金额,余额,连续爆,2小时判断,12小时判断,平仓原因,基差%,杠杆倍数,仓位金额,是否有补仓,补仓价格,补仓后平均价,2h收盘价,2h涨幅%,2h最大跌幅%,12h收盘价,12h涨幅%,12h最大跌幅%,24h收盘价,24小时涨幅%,24h最大跌幅%,72h最大跌幅%,最大跌幅%,2小时最大涨幅%,24小时最大涨幅%,止盈阈值%,建仓时账户多空比,信号时账户多空比,多空比变化率,当前5m时间,当前5m收盘价,当前浮盈金额,当前浮盈百分比
34,KNCUSDT,44.8,22.5,44.0,0.511,"$5,236,662","$5,816,316",0.900,0.0000,2026-03-27 07:00,0.185900,2026-03-27,2026-03-27 08:00:00,2026-03-27 08:00:00,0.92,0.183100,-1.51%,2026-03-27,2026-03-27 16:00:00,0.162959,8.0,11.00%,3.4132,,3.0378,6.4510,0.0000,,,1877.27,1870.82,1870.82,1870.82,28662.47,是,中（改成20%）,中（保持20%）,take_profit,-2.0199%,4.0,4266.53,否,,,0.170200,-7.05%,8.14%,0.161700,-11.69%,12.23%,0.150700,,19.12%,24.58%,12.23%,4.42%,,11.0%,0.9157,0.8939,1.0244,,,,
35,QUSDT,80.7,21.2,23.8,0.892,"$4,869,122","$6,929,561",0.703,0.0000,2026-03-28 00:00,0.013825,2026-03-28,2026-03-28 01:00:00,2026-03-28 01:00:00,0.94,0.013562,-1.90%,2026-03-28,2026-03-28 01:15:00,0.011935,0.25,12.00%,4.1245,,3.6296,7.7541,0.0000,,,2474.72,2466.96,2466.96,2466.96,31129.43,是,强（2h内默认）,强（保持30%）,take_profit,0.0000%,4.0,5155.66,否,,,0.008373,-38.26%,65.89%,0.008639,-36.30%,65.89%,0.009276,,65.89%,65.89%,65.89%,3.05%,,,0.9372,1.0995,0.8524,,,,
36,B3USDT,78.6,2.1,1.6,1.295,"$2,374,354","$2,452,635",0.968,0.0000,2026-03-27 23:00,0.000384,2026-03-28,2026-03-28 00:00:00,2026-03-28 00:00:00,1.68,0.000387,0.91%,2026-03-28,2026-03-28 10:45:00,0.000345,10.75,11.00%,4.4995,,4.0046,8.5041,0.0000,,,2474.73,2466.23,2466.23,2466.23,33595.66,是,中（改成20%）,中（保持20%）,take_profit,-0.1932%,4.0,5624.39,否,,,0.000380,-1.88%,5.16%,0.000367,-5.19%,12.05%,0.000348,,12.05%,19.93%,12.05%,4.47%,,11.0%,1.6824,1.6434,1.0237,,,,
37,QUSDT,204.6,21.2,23.8,0.892,"$6,929,561","$3,714,464",1.866,0.0000,2026-03-28 01:00,0.006428,2026-03-28,2026-03-28 02:00:00,2026-03-28 02:00:00,1.33,0.006672,3.80%,2026-03-28,2026-03-28 02:05:00,0.007740,0.08,-16.00%,4.8744,,5.6543,10.5287,0.0000,,,-3899.50,-3910.03,-3910.03,-3910.03,29685.63,是,强（2h内默认）,强（保持30%）,stop_loss,0.0000%,4.0,6092.97,否,,,0.008105,21.48%,5.01%,0.008934,33.90%,5.01%,0.009438,,5.01%,5.01%,5.01%,64.87%,,,1.3332,0.9372,1.4225,,,,
38,OLUSDT,44.0,6.9,7.7,0.885,"$766,379","$829,253",0.924,0.0000,2026-03-28 05:00,0.012890,2026-03-28,2026-03-28 06:00:00,2026-03-28 06:00:00,2.82,0.013000,0.85%,2026-03-28,2026-03-28 09:25:00,0.011570,3.42,11.00%,4.2801,,3.8092,8.0893,0.0000,,,2354.03,2345.94,2345.94,2345.94,32031.57,否,中（改成20%）,中（保持20%）,take_profit,0.0000%,4.0,5350.06,否,,,0.012690,-2.38%,3.31%,0.011830,-9.00%,17.62%,0.011720,,17.62%,20.77%,17.62%,1.15%,,11.0%,2.8183,2.7133,1.0387,,,,
39,OLUSDT,82.0,6.9,7.7,0.885,"$743,252","$853,355",0.871,0.0000,2026-03-28 09:00,0.012200,2026-03-28,2026-03-28 10:05:00,2026-03-28 10:05:00,2.31,0.012110,-0.74%,2026-03-29,2026-03-29 17:25:00,0.010899,31.33,10.00%,4.6366,,4.1730,8.8096,0.0000,,,2318.32,2309.51,2309.51,2309.51,34341.07,否,中（改成20%）,弱（12%）,take_profit,0.0000%,4.0,5795.79,否,,,0.011700,-3.39%,5.78%,0.011850,-2.15%,5.78%,0.011550,-4.29%,5.78%,14.95%,10.16%,0.00%,,10.0%,2.3124,3.0717,0.7528,,,,
40,CKBUSDT,85.8,71.4,57.6,1.240,"$1,152,823","$1,294,693",0.890,0.0000,2026-03-29 00:00,0.001388,2026-03-29,2026-03-29 01:00:00,2026-03-29 01:00:00,1.74,0.001377,-0.79%,2026-04-01,2026-04-01 00:55:00,0.001392,71.92,-1.09%,5.0877,,5.1431,10.2308,0.0000,,,-277.11,-287.34,-287.34,-287.34,34053.74,否,中（改成20%）,弱（12%）,max_hold_time,-0.1311%,4.0,6359.64,否,,,0.001363,-1.02%,1.23%,0.001346,-2.25%,2.61%,0.001342,-2.54%,5.37%,5.37%,5.37%,1.09%,,,1.7435,2.0084,0.8681,,,,
41,VANAUSDT,82.8,73.8,62.3,1.185,"$1,863,431","$2,687,278",0.693,0.0000,2026-03-29 00:00,1.283000,2026-03-29,2026-03-29 01:00:00,2026-03-29 01:00:00,1.26,1.295000,0.94%,2026-04-01,2026-04-01 00:55:00,1.247000,71.92,3.71%,5.0877,,4.8991,9.9868,0.0000,,,942.90,932.91,932.91,932.91,34986.64,否,中（改成20%）,弱（12%）,max_hold_time,-1.3938%,4.0,6359.64,否,,,1.314000,1.47%,1.78%,1.234000,-4.71%,5.25%,1.219000,-5.87%,7.72%,7.72%,7.72%,2.70%,,,1.2635,1.2416,1.0176,,,,
42,NOMUSDT,41.7,2.3,2.4,0.964,"$7,739,012","$8,384,525",0.923,0.0000,2026-03-28 23:00,0.003099,2026-03-29,2026-03-29 00:00:00,2026-03-29 00:00:00,0.91,0.003140,1.32%,2026-03-29,2026-03-29 02:45:00,0.002795,2.75,11.00%,5.0877,,4.5281,9.6158,0.0000,,,2798.24,2788.62,2788.62,2788.62,37775.27,是,中（改成20%）,中（保持20%）,take_profit,-0.8843%,4.0,6359.64,否,,,0.003012,-4.08%,8.38%,0.002669,-15.00%,19.11%,0.002591,,28.47%,28.47%,13.79%,3.92%,,11.0%,0.9062,0.9298,0.9746,,,,
43,我踏马来了USDT,130.9,65.3,49.2,1.327,"$3,761,666","$4,078,473",0.922,0.0000,2026-03-29 07:00,0.007760,2026-03-29,2026-03-29 08:00:00,2026-03-29 08:00:00,2.02,0.007788,0.36%,2026-04-01,2026-04-01 07:55:00,0.007399,71.92,4.99%,5.5116,,5.2363,10.7479,0.0000,,,1376.48,1365.73,1365.73,1365.73,39141.00,否,中（改成20%）,弱（12%）,max_hold_time,0.0000%,4.0,6889.47,否,,,0.007764,-0.31%,2.14%,0.007620,-2.16%,4.67%,0.007886,1.26%,4.67%,6.74%,6.74%,2.45%,,,2.0221,2.0021,1.0100,,,,
44,SENTUSDT,37.9,11.1,17.8,0.625,"$8,194,051","$9,727,634",0.842,0.0000,2026-03-29 10:00,0.018140,2026-03-29,2026-03-29 11:00:00,2026-03-29 11:00:00,0.58,0.018130,-0.06%,2026-04-01,2026-04-01 10:55:00,0.017110,71.92,5.63%,5.5116,,5.2015,10.7131,0.0000,,,1550.42,1539.70,1539.70,1539.70,40680.70,是,中（改成20%）,弱（12%）,max_hold_time,-2.7832%,4.0,6889.47,否,,,0.017920,-1.16%,2.92%,0.018490,1.99%,2.92%,0.019040,5.02%,2.92%,6.45%,6.45%,2.04%,,,0.5850,0.5627,1.0396,,,,
45,API3USDT,43.9,27.0,22.7,1.192,"$2,201,934","$2,286,550",0.963,0.0000,2026-03-30 00:00,0.262800,2026-03-30,2026-03-30 01:00:00,2026-03-30 01:00:00,1.20,0.263600,0.30%,2026-04-02,2026-04-02 00:55:00,0.273500,71.92,-3.76%,5.6437,,5.8557,11.4994,0.0000,,,-1059.80,-1071.30,-1071.30,-1071.30,39609.40,否,中（改成20%）,弱（12%）,max_hold_time,0.0000%,4.0,7054.64,否,,,0.266700,1.18%,0.30%,0.272200,3.26%,0.30%,0.265400,0.68%,0.30%,0.46%,0.46%,1.48%,,,1.2012,1.2095,0.9931,,,,
46,ELSAUSDT,41.4,60.0,43.1,1.393,"$655,913","$791,551",0.829,0.0000,2026-03-30 00:00,0.063540,2026-03-30,2026-03-30 01:00:00,2026-03-30 01:00:00,2.04,0.063690,0.24%,2026-04-02,2026-04-02 00:55:00,0.062990,71.92,1.10%,6.1835,,6.1155,12.2990,0.0000,,,339.80,327.51,327.51,327.51,39936.91,否,中（改成20%）,弱（12%）,max_hold_time,-0.2543%,4.0,7729.33,否,,,0.063480,-0.33%,3.31%,0.062220,-2.31%,3.67%,0.064350,1.04%,5.37%,5.37%,5.37%,1.22%,,,2.0367,2.3841,0.8543,,,,
47,MINAUSDT,40.9,50.6,105.4,0.480,"$1,750,190","$2,340,529",0.748,0.0000,2026-04-01 00:00,0.056140,2026-04-01,2026-04-01 01:00:00,2026-04-01 01:00:00,1.19,0.058210,3.69%,2026-04-04,2026-04-04 00:55:00,0.056180,71.92,3.49%,6.1835,,5.9678,12.1513,0.0000,,,1078.20,1066.05,1066.05,1066.05,41002.96,是,中（改成20%）,弱（12%）,max_hold_time,-0.8857%,4.0,7729.33,否,,,0.058690,0.82%,4.29%,0.058550,0.58%,4.29%,0.058660,0.77%,4.29%,6.03%,6.03%,1.92%,,,1.1896,1.2640,0.9411,,,,
48,BLURUSDT,75.9,716.2,899.0,0.797,"$3,090,241","$3,217,509",0.960,0.0000,2026-04-01 01:00,0.019340,2026-04-01,2026-04-01 02:00:00,2026-04-01 02:00:00,1.66,0.019460,0.62%,2026-04-01,2026-04-01 04:55:00,0.019900,2.92,-2.26%,6.1835,,6.3233,12.5067,0.0000,,,-699.06,-711.56,-711.56,-711.56,40291.40,是,中（推断20%）,中（保持20%）,early_stop_loss,-3.4733%,4.0,7729.33,否,,,0.019950,2.52%,0.98%,0.024120,23.95%,0.98%,0.021470,,0.98%,1.49%,0.98%,3.85%,,,1.6567,1.7647,0.9388,,,,
49,BLURUSDT,112.8,716.2,899.0,0.797,"$3,217,509","$3,748,313",0.858,0.0000,2026-04-01 02:00,0.019960,2026-04-01,2026-04-01 03:00:00,2026-04-01 03:00:00,1.52,0.019860,-0.50%,2026-04-01,2026-04-01 10:05:00,0.023038,7.08,-16.00%,6.0753,,7.0474,13.1227,0.0000,,,-4860.25,-4873.37,-4873.37,-4873.37,35418.03,是,中（改成20%）,中（保持20%）,stop_loss,-3.2599%,4.0,7594.14,否,,,0.019900,0.20%,1.61%,0.023500,18.33%,1.66%,0.021020,,1.66%,3.47%,1.66%,4.18%,,,1.5227,1.6567,0.9191,,,,
50,LQTYUSDT,92.1,149.1,209.2,0.713,"$1,032,583","$1,264,827",0.816,0.0000,2026-04-01 06:00,0.280100,2026-04-01,2026-04-01 07:00:00,2026-04-01 07:00:00,1.95,0.282900,1.00%,2026-04-04,2026-04-04 06:55:00,0.270400,71.92,4.42%,5.3346,,5.0988,10.4334,0.0000,,,1178.54,1168.11,1168.11,1168.11,36586.14,否,中（改成20%）,弱（12%）,max_hold_time,-0.3026%,4.0,6668.20,否,,,0.285500,0.92%,1.27%,0.277200,-2.01%,3.46%,0.270300,-4.45%,6.12%,6.12%,6.12%,1.38%,,,1.9507,2.1085,0.9252,,,,
51,VTHOUSDT,170.4,386.8,295.1,1.311,"$1,094,163","$1,636,386",0.669,0.0000,2026-04-02 00:00,0.000575,2026-04-02,2026-04-02 01:00:00,2026-04-02 01:00:00,1.43,0.000563,-2.21%,2026-04-05,2026-04-05 00:55:00,0.000540,71.92,4.07%,5.2215,,5.0090,10.2305,0.0000,,,1062.49,1052.26,1052.26,1052.26,37638.39,是,中（改成20%）,弱（12%）,max_hold_time,0.0000%,4.0,6526.88,否,,,0.000556,-1.16%,2.83%,0.000544,-3.25%,3.87%,0.000532,-5.40%,6.34%,6.34%,6.34%,2.26%,,,1.4278,1.7933,0.7962,,,,
52,JCTUSDT,90.0,14.5,9.2,1.577,"$3,369,412","$3,877,616",0.869,0.0000,2026-04-01 15:00,0.002518,2026-04-01,2026-04-01 16:00:00,2026-04-01 16:00:00,0.68,0.002483,-1.39%,2026-04-04,2026-04-04 05:20:00,0.002880,61.33,-16.00%,5.2215,,6.0569,11.2784,0.0000,,,-4177.20,-4188.48,-4188.48,-4188.48,33449.91,否,中（改成20%）,弱（12%）,stop_loss,0.0000%,4.0,6526.88,否,,,0.002289,-7.81%,10.35%,0.002293,-7.65%,10.35%,0.002348,-5.44%,10.35%,10.35%,10.35%,3.91%,,,0.6781,0.7221,0.9391,,,,
53,DRIFTUSDT,42.1,312.2,192.9,1.619,"$3,887,422","$3,912,359",0.994,0.0000,2026-04-01 23:00,0.047020,2026-04-02,2026-04-02 00:00:00,2026-04-02 00:00:00,1.74,0.046990,-0.06%,2026-04-02,2026-04-02 02:15:00,0.041821,2.25,11.00%,5.2215,,4.6471,9.8686,0.0000,,,2871.83,2861.96,2861.96,2861.96,36311.87,是,中（改成20%）,中（保持20%）,take_profit,-1.8114%,4.0,6526.88,否,,,0.043740,-6.92%,9.79%,0.048870,4.00%,21.26%,0.040520,,21.26%,28.81%,14.09%,0.85%,,11.0%,1.7352,1.7293,1.0034,,,,
54,FUSDT,40.6,69.7,73.4,0.950,"$1,612,788","$1,787,764",0.902,0.0000,2026-04-02 00:00,0.005319,2026-04-02,2026-04-02 01:00:00,2026-04-02 01:00:00,1.32,0.005304,-0.28%,2026-04-05,2026-04-05 00:55:00,0.004899,71.92,7.64%,5.6565,,5.2246,10.8811,0.0000,,,2159.59,2148.71,2148.71,2148.71,38460.58,否,中（改成20%）,弱（12%）,max_hold_time,-0.0994%,4.0,7070.65,否,,,0.005056,-4.68%,5.49%,0.004945,-6.77%,6.99%,0.004900,-7.62%,8.48%,8.48%,8.48%,0.94%,,,1.3229,1.3397,0.9875,,,,
55,POLYXUSDT,88.6,148.5,140.4,1.058,"$1,815,812","$3,529,692",0.514,0.0000,2026-04-04 00:00,0.052120,2026-04-04,2026-04-04 01:00:00,2026-04-04 01:00:00,1.00,0.051570,-1.06%,2026-04-07,2026-04-07 00:55:00,0.046050,71.92,10.70%,5.3595,,4.7858,10.1453,0.0000,,,2868.36,2858.21,2858.21,2858.21,41318.79,是,中（改成20%）,弱（12%）,max_hold_time,数据缺失,4.0,6699.33,否,,,0.052590,1.98%,1.80%,0.053300,3.35%,1.80%,0.051330,-0.47%,3.94%,10.98%,10.98%,4.13%,,,0.9968,1.0325,0.9654,,,,
56,TAGUSDT,35.8,14.4,15.6,0.923,"$8,116,226","$8,552,313",0.949,0.0000,2026-04-01 23:00,0.000758,2026-04-02,2026-04-02 00:00:00,2026-04-02 00:00:00,0.66,0.000754,-0.51%,2026-04-02,2026-04-02 00:35:00,0.000664,0.58,12.00%,5.3595,,4.7163,10.0758,0.0000,,,3215.68,3205.60,3205.60,3205.60,44524.39,是,强（2h内默认）,强（保持30%）,take_profit,0.4466%,4.0,6699.33,否,,,0.000672,-10.85%,16.98%,0.000731,-3.13%,16.98%,0.000936,,16.98%,16.98%,16.98%,3.09%,,,0.6647,0.6829,0.9733,,,,
57,THETAUSDT,42.4,57.2,67.0,0.852,"$2,717,418","$3,692,327",0.736,0.0000,2026-04-04 05:00,0.164400,2026-04-04,2026-04-04 06:00:00,2026-04-04 06:00:00,1.55,0.166800,1.46%,2026-04-07,2026-04-07 05:55:00,0.158200,71.92,5.16%,5.8467,,5.5453,11.3920,0.0000,,,1507.25,1495.85,1495.85,1495.85,46020.24,否,中（改成20%）,弱（12%）,max_hold_time,数据缺失,4.0,7308.39,否,,,0.168400,0.96%,1.74%,0.161800,-3.00%,4.50%,0.156100,-6.41%,6.89%,8.15%,8.15%,4.32%,,,1.5536,1.6350,0.9502,,,,
58,BARDUSDT,48.4,20.3,22.1,0.917,"$11,803,284","$12,228,718",0.965,0.0000,2026-04-04 07:00,0.310600,2026-04-04,2026-04-04 08:00:00,2026-04-04 08:00:00,0.58,0.311700,0.35%,2026-04-07,2026-04-07 07:55:00,0.310000,71.92,0.55%,5.8467,,5.8148,11.6615,0.0000,,,159.44,147.78,147.78,147.78,46168.02,否,中（改成20%）,弱（12%）,max_hold_time,数据缺失,4.0,7308.39,否,,,0.309300,-0.77%,1.06%,0.305600,-1.96%,3.88%,0.301200,-3.37%,3.88%,6.42%,6.42%,0.90%,,,0.5838,0.6044,0.9659,,,,
59,TUSDT,85.3,207.5,127.3,1.630,"$1,296,777","$1,506,237",0.861,0.0000,2026-04-05 00:00,0.006459,2026-04-05,2026-04-05 01:00:00,2026-04-05 01:00:00,2.12,0.006393,-1.02%,2026-04-08,2026-04-08 00:55:00,0.006278,71.92,1.80%,6.3333,,6.2193,12.5526,0.0000,,,569.63,557.07,557.07,557.07,46725.09,否,中（改成20%）,弱（12%）,max_hold_time,-1.5167%,4.0,7916.57,否,,,0.006366,-0.42%,2.33%,0.006050,-5.37%,5.57%,0.006094,-4.68%,6.38%,6.48%,6.48%,1.30%,,,2.1172,2.3659,0.8949,,,,
60,1INCHUSDT,50.1,63.9,32.7,1.958,"$2,296,193","$2,618,202",0.877,0.0000,2026-04-05 00:00,0.088800,2026-04-05,2026-04-05 01:00:00,2026-04-05 01:00:00,2.04,0.088600,-0.23%,2026-04-08,2026-04-08 00:55:00,0.093300,71.92,-5.30%,6.3333,,6.6692,13.0025,0.0000,,,-1679.81,-1692.82,-1692.82,-1692.82,45032.28,否,中（改成20%）,弱（12%）,max_hold_time,-0.0490%,4.0,7916.57,否,,,0.088000,-0.68%,0.90%,0.086300,-2.60%,2.71%,0.089100,0.56%,2.93%,2.93%,2.93%,0.45%,,,2.0395,2.0750,0.9829,,,,
61,FUSDT,124.8,109.0,65.8,1.657,"$1,636,230","$3,102,394",0.527,0.0000,2026-04-07 00:00,0.005877,2026-04-07,2026-04-07 01:00:00,2026-04-07 01:00:00,1.81,0.005878,0.02%,2026-04-07,2026-04-07 03:20:00,0.005173,2.33,12.00%,7.0175,,6.1754,13.1930,0.0000,,,4210.52,4197.33,4197.33,4197.33,49229.61,是,强（保持30%）,强（保持30%）,take_profit,-0.6078%,4.0,8771.92,否,,,0.005241,-10.84%,11.40%,0.005105,-13.15%,14.26%,0.005234,,14.26%,14.26%,12.64%,0.85%,,12.0%,1.8082,2.1476,0.8420,,,,
62,ANIMEUSDT,34.7,17.9,18.4,0.973,"$2,640,114","$2,940,982",0.898,0.0000,2026-04-07 00:00,0.004635,2026-04-07,2026-04-07 01:00:00,2026-04-07 01:00:00,0.60,0.004639,0.09%,2026-04-10,2026-04-10 00:55:00,0.004625,71.92,0.30%,7.6555,,7.6324,15.2880,0.0000,,,115.52,100.23,100.23,100.23,49329.84,否,中（改成20%）,弱（12%）,max_hold_time,-0.2799%,4.0,9569.42,否,,,0.004514,-2.69%,3.75%,0.004512,-2.74%,3.75%,0.004649,0.22%,4.31%,4.31%,4.31%,0.32%,,,0.5972,0.5501,1.0856,,,,
63,JCTUSDT,31.0,11.2,10.9,1.019,"$6,235,875","$6,204,527",1.005,0.0000,2026-04-04 07:00,0.003027,2026-04-04,2026-04-04 08:00:00,2026-04-04 08:00:00,0.82,0.003017,-0.33%,2026-04-04,2026-04-04 09:20:00,0.003500,1.33,-16.00%,7.6555,,8.8804,16.5360,0.0000,,,-6124.43,-6140.96,-6140.96,-6140.96,43188.87,是,强（2h内默认）,强（保持30%）,stop_loss,数据缺失,4.0,9569.42,否,,,0.003667,21.54%,2.06%,0.003840,27.28%,2.06%,0.003816,,2.06%,2.06%,2.06%,24.30%,,,0.8232,0.7986,1.0308,,,,
64,FUSDT,79.1,109.0,65.8,1.657,"$3,102,394","$2,645,738",1.173,0.0000,2026-04-07 01:00,0.005372,2026-04-07,2026-04-07 02:00:00,2026-04-07 02:00:00,2.06,0.005364,-0.15%,2026-04-10,2026-04-10 01:55:00,0.005162,71.92,3.77%,6.7221,,6.4690,13.1911,0.0000,,,1265.72,1252.53,1252.53,1252.53,44441.40,否,中（改成20%）,弱（12%）,max_hold_time,0.0000%,4.0,8402.63,否,,,0.005136,-4.25%,4.46%,0.005079,-5.31%,6.04%,0.005213,-2.82%,6.04%,6.04%,6.04%,0.37%,,,2.0647,1.8082,1.1419,,,,
65,BIGTIMEUSDT,52.5,10.8,5.4,2.002,"$1,540,056","$1,526,044",1.009,0.0000,2026-04-07 01:00,0.012240,2026-04-07,2026-04-07 02:00:00,2026-04-07 02:00:00,2.25,0.012250,0.08%,2026-04-10,2026-04-10 01:55:00,0.012580,71.92,-2.69%,6.7221,,6.9032,13.6253,0.0000,,,-905.43,-919.05,-919.05,-919.05,43522.35,否,中（改成20%）,弱（12%）,max_hold_time,-0.0223%,4.0,8402.63,否,,,0.012250,0.00%,0.49%,0.012080,-1.39%,1.80%,0.012860,4.98%,1.80%,1.80%,1.80%,1.88%,,,2.2478,2.3190,0.9693,,,,
66,EDUUSDT,52.5,27.4,26.2,1.045,"$3,965,269","$4,816,025",0.823,0.0000,2026-04-08 05:00,0.056610,2026-04-08,2026-04-08 06:00:00,2026-04-08 06:00:00,1.89,0.053040,-6.31%,2026-04-08,2026-04-08 14:35:00,0.047206,8.58,11.00%,6.5495,,5.8290,12.3785,0.0000,,,3602.21,3589.83,3589.83,3589.83,47112.18,是,中（改成20%）,中（保持20%）,take_profit,0.0000%,4.0,8186.84,否,,,0.053270,0.43%,4.19%,0.045970,-13.33%,14.88%,0.045050,,18.40%,18.51%,11.37%,7.30%,,11.0%,1.8868,1.9223,0.9815,,,,
67,EDUUSDT,35.4,27.4,26.2,1.045,"$4,816,025","$4,495,131",1.071,0.0000,2026-04-08 06:00,0.053930,2026-04-08,2026-04-08 07:00:00,2026-04-08 07:00:00,2.00,0.053790,-0.26%,2026-04-08,2026-04-08 14:35:00,0.047873,7.58,11.00%,7.0951,,6.3147,13.4098,0.0000,,,3902.32,3888.91,3888.91,3888.91,51001.10,否,中（改成20%）,中（保持20%）,take_profit,0.0000%,4.0,8868.91,否,,,0.049160,-8.61%,10.32%,0.045200,-15.97%,16.32%,0.044190,,19.54%,19.65%,12.60%,5.00%,,11.0%,1.9994,1.8868,1.0597,,,,
68,BANUSDT,32.4,11.3,14.8,0.763,"$7,577,619","$7,762,194",0.976,0.0000,2026-04-08 07:00,0.059480,2026-04-08,2026-04-08 08:00:00,2026-04-08 08:00:00,0.86,0.059170,-0.52%,2026-04-11,2026-04-11 07:55:00,0.059250,71.92,-0.14%,7.6862,,7.6966,15.3829,0.0000,,,-51.96,-67.34,-67.34,-67.34,50933.75,否,中（改成20%）,弱（12%）,max_hold_time,0.0000%,4.0,9607.80,否,,,0.057260,-3.23%,6.20%,0.056400,-4.68%,6.20%,0.055730,-5.81%,6.61%,8.52%,8.52%,0.66%,,,0.8608,0.8730,0.9860,,,,
69,OPENUSDT,51.4,74.3,68.9,1.078,"$5,168,784","$6,091,666",0.849,0.0000,2026-04-08 08:00,0.178800,2026-04-08,2026-04-08 09:00:00,2026-04-08 09:00:00,1.61,0.179300,0.28%,2026-04-08,2026-04-08 11:55:00,0.182600,2.92,-1.84%,7.6862,,7.8277,15.5140,0.0000,,,-707.32,-722.84,-722.84,-722.84,50210.92,否,中（推断20%）,中（保持20%）,early_stop_loss,0.0000%,4.0,9607.80,否,,,0.183100,2.12%,1.73%,0.178500,-0.45%,1.73%,0.179600,,2.29%,2.29%,1.73%,2.57%,,,1.6055,1.7435,0.9208,,,,
70,TOSHIUSDT,37.4,21.3,19.6,1.084,"$788,998","$1,069,051",0.738,0.0000,2026-04-08 08:00,0.000186,2026-04-08,2026-04-08 09:00:00,2026-04-08 09:00:00,2.40,0.000184,-0.86%,2026-04-11,2026-04-11 08:55:00,0.000177,71.92,3.91%,7.5764,,7.2801,14.8564,0.0000,,,1481.53,1466.67,1466.67,1466.67,51677.59,否,中（改成20%）,弱（12%）,max_hold_time,-0.0621%,4.0,9470.46,否,,,0.000184,0.16%,2.06%,0.000181,-1.85%,2.82%,0.000176,-4.35%,5.65%,5.65%,5.65%,5.05%,,,2.3979,2.5881,0.9265,,,,
71,MINAUSDT,57.5,58.4,86.5,0.675,"$2,222,095","$3,335,639",0.666,0.0000,2026-04-10 00:00,0.059400,2026-04-10,2026-04-10 01:00:00,2026-04-10 01:00:00,1.30,0.059230,-0.29%,2026-04-13,2026-04-13 00:55:00,0.056300,71.92,4.95%,7.6423,,7.2642,14.9065,0.0000,,,1890.25,1875.35,1875.35,1875.35,53552.93,否,中（改成20%）,弱（12%）,max_hold_time,-1.3103%,4.0,9552.87,否,,,0.059940,1.20%,1.10%,0.057920,-2.21%,3.06%,0.057080,-3.63%,4.61%,6.31%,6.31%,3.56%,,,1.3026,1.3073,0.9964,,,,
72,NEOUSDT,64.8,109.2,108.7,1.004,"$4,129,256","$5,071,946",0.814,0.0000,2026-04-10 03:00,2.867000,2026-04-10,2026-04-10 04:00:00,2026-04-10 04:00:00,1.44,2.868000,0.03%,2026-04-13,2026-04-13 03:55:00,2.702000,71.92,5.79%,7.6423,,7.2000,14.8423,0.0000,,,2211.68,2196.84,2196.84,2196.84,55749.77,否,中（改成20%）,弱（12%）,max_hold_time,-0.3961%,4.0,9552.87,否,,,2.858000,-0.35%,0.87%,2.925000,1.99%,1.46%,2.835000,-1.15%,1.46%,6.45%,6.45%,1.85%,,,1.4438,1.6406,0.8800,,,,
73,ILVUSDT,217.8,10.7,12.8,0.839,"$1,764,603","$3,368,748",0.524,0.0000,2026-04-10 12:00,4.992000,2026-04-10,2026-04-10 13:00:00,2026-04-10 13:00:00,1.62,5.157000,3.31%,2026-04-10,2026-04-10 20:00:00,4.589730,7.0,11.00%,7.6423,,6.8016,14.4439,0.0000,,,4203.26,4188.82,4188.82,4188.82,59938.59,是,中（改成20%）,中（保持20%）,take_profit,-3.5318%,4.0,9552.87,否,,,5.242000,1.65%,4.25%,4.458000,-13.55%,14.70%,4.381000,,17.14%,19.14%,12.00%,12.86%,,11.0%,1.6192,2.3670,0.6841,,,,
74,HMSTRUSDT,38.6,22.8,38.7,0.590,"$1,347,287","$1,600,759",0.842,0.0000,2026-04-10 12:00,0.000144,2026-04-10,2026-04-10 13:00:00,2026-04-10 13:00:00,4.41,0.000146,1.60%,2026-04-13,2026-04-13 12:55:00,0.000139,71.92,5.07%,8.2790,,7.8591,16.1381,0.0000,,,2099.54,2083.40,2083.40,2083.40,62021.99,否,中（改成20%）,弱（12%）,max_hold_time,0.0000%,4.0,10348.74,否,,,0.000147,0.89%,1.58%,0.000143,-1.78%,2.06%,0.000144,-1.23%,3.15%,6.03%,6.03%,2.47%,,,4.4142,5.3251,0.8289,,,,
75,CKBUSDT,224.3,392.5,743.9,0.528,"$1,355,459","$2,281,077",0.594,0.0000,2026-04-11 00:00,0.001529,2026-04-11,2026-04-11 01:00:00,2026-04-11 01:00:00,1.99,0.001521,-0.52%,2026-04-14,2026-04-14 00:55:00,0.001502,71.92,1.25%,8.4917,,8.3856,16.8773,0.0000,,,530.38,513.50,513.50,513.50,62535.50,是,中（改成20%）,弱（12%）,max_hold_time,-0.4914%,4.0,10614.62,否,,,0.001508,-0.85%,2.10%,0.001464,-3.75%,4.34%,0.001474,-3.09%,4.34%,5.85%,5.85%,1.78%,,,1.9922,2.4783,0.8039,,,,
