# moonshot:max_positions=5
序号,交易对,卖量暴涨倍数,当日买量倍数,当日卖量倍数,买卖量比值,信号时未平仓量,建仓时未平仓量,未平仓量比率,买量加速度,信号时间,信号价,建仓日期,建仓具体时间,建仓5分钟时刻,建仓时多空比,建仓价,建仓涨幅%,平仓日期,平仓具体时间,平仓价,持仓小时数,盈亏百分比,建仓手续费,补仓手续费,平仓手续费,交易手续费合计,盈亏金额,扣交易费后,最终净盈亏,真实盈亏金额,余额,连续爆,2小时判断,12小时判断,平仓原因,基差%,杠杆倍数,仓位金额,是否有补仓,补仓价格,补仓后平均价,2h收盘价,2h涨幅%,2h最大跌幅%,12h收盘价,12h涨幅%,12h最大跌幅%,24h收盘价,24小时涨幅%,24h最大跌幅%,72h最大跌幅%,最大跌幅%,2小时最大涨幅%,24小时最大涨幅%,止盈阈值%,建仓时账户多空比,信号时账户多空比,多空比变化率,当前5m时间,当前5m收盘价,当前浮盈金额,当前浮盈百分比
42,BANKUSDT,67.7,6.8,6.6,1.034,,,,-0.0751,2026-04-01 15:00,0.046660,2026-04-01,2026-04-01 16:00:00,2026-04-01 16:00:00,,0.046250,-0.88%,2026-04-01,2026-04-01 17:00:00,0.053650,1.0,-16.00%,0.6000,,0.6960,1.2960,-480.00,-481.30,-481.30,-481.30,10919.03,否,强（2h内默认）,强（保持30%）,stop_loss,数据缺失,3.0,1000.00,否,,,0.056700,22.59%,2.08%,0.049950,8.00%,5.38%,0.032820,,30.72%,44.39%,2.08%,30.49%,,,,,,,,,
43,VTHOUSDT,170.4,386.8,295.1,1.311,,,,0.1384,2026-04-02 00:00,0.000575400000,2026-04-02,2026-04-02 01:00:00,2026-04-02 01:00:00,,0.000562700000,-2.21%,2026-04-05,2026-04-05 01:00:00,0.000537200000,72.0,4.53%,0.6000,,0.5728,1.1728,135.95,134.78,134.78,134.78,11053.81,是,中（改成20%）,弱（12%）,max_hold_time,数据缺失,3.0,1000.00,否,,,0.000556,-1.16%,2.83%,0.000544,-3.25%,3.87%,0.000532,-5.40%,6.34%,6.34%,6.34%,2.26%,,,,,,,,,
44,FUNUSDT,33.8,42.7,55.2,0.774,,,,0.3870,2026-04-02 05:00,0.001225000000,2026-04-02,2026-04-02 06:00:00,2026-04-02 06:00:00,,0.001223000000,-0.16%,2026-04-02,2026-04-02 18:00:00,0.001375000000,12.0,-12.43%,0.6000,,0.6746,1.2746,-372.85,-374.13,-374.13,-374.13,10679.68,否,中（改成20%）,弱（12%）,early_stop_loss_12h,数据缺失,3.0,1000.00,否,,,0.001275,4.25%,0.08%,0.001375,12.43%,0.08%,0.001408,,0.08%,0.08%,0.08%,4.50%,,,,,,,,,
45,CTSIUSDT,30.9,23.8,40.6,0.585,,,,-0.1180,2026-04-02 06:00,0.025500,2026-04-02,2026-04-02 07:00:00,2026-04-02 07:00:00,,0.025200,-1.18%,2026-04-02,2026-04-02 14:00:00,0.029232,7.0,-16.00%,0.6000,,0.6960,1.2960,-480.00,-481.30,-481.30,-481.30,10198.38,否,中（改成20%）,中（保持20%）,stop_loss,数据缺失,3.0,1000.00,否,,,0.024400,-3.17%,9.13%,0.040900,62.30%,9.13%,0.040900,,9.13%,9.13%,9.13%,1.98%,,,,,,,,,
46,HEMIUSDT,52.9,5.7,4.8,1.187,,,,0.0299,2026-04-02 13:00,0.009626000000,2026-04-02,2026-04-02 14:00:00,2026-04-02 14:00:00,,0.009017000000,-6.33%,2026-04-02,2026-04-02 15:00:00,0.007934960000,1.0,12.00%,0.6000,,0.5280,1.1280,360.00,358.87,358.87,358.87,10557.25,否,强（2h内默认）,强（保持30%）,take_profit,数据缺失,3.0,1000.00,否,,,0.007318,-18.84%,19.51%,0.006951,-22.91%,24.42%,0.007395,,26.19%,26.19%,19.51%,8.32%,,12.0%,,,,,,,
47,SAFEUSDT,48.9,5.3,6.1,0.880,,,,0.5211,2026-04-02 14:00,0.109800,2026-04-02,2026-04-02 15:00:00,2026-04-02 15:00:00,,0.110800,0.91%,2026-04-05,2026-04-05 07:00:00,0.128528,64.0,-16.00%,0.6000,,0.6960,1.2960,-480.00,-481.30,-481.30,-481.30,10075.96,否,中（改成20%）,弱（12%）,stop_loss,数据缺失,3.0,1000.00,否,,,0.109500,-1.17%,4.42%,0.110800,0.00%,4.87%,0.113700,2.62%,4.87%,5.78%,5.78%,0.72%,,,,,,,,,
48,CHRUSDT,30.4,5.0,5.4,0.931,,,,-0.0379,2026-04-03 02:00,0.019900,2026-04-03,2026-04-03 03:00:00,2026-04-03 03:00:00,,0.020200,1.51%,2026-04-03,2026-04-03 07:00:00,0.017978,4.0,11.00%,0.6000,,0.5340,1.1340,330.00,328.87,328.87,328.87,10404.82,否,中（改成20%）,中（保持20%）,take_profit,数据缺失,3.0,1000.00,否,,,0.018300,-9.41%,10.40%,0.019000,-5.94%,12.38%,0.018400,,15.35%,15.35%,12.38%,3.47%,,11.0%,,,,,,,
49,ONGUSDT,34.5,16.9,24.3,0.693,,,,0.0798,2026-04-03 06:00,0.089910,2026-04-03,2026-04-03 07:00:00,2026-04-03 07:00:00,,0.088150,-1.96%,2026-04-03,2026-04-03 11:00:00,0.102254,4.0,-16.00%,0.6000,,0.6960,1.2960,-480.00,-481.30,-481.30,-481.30,9923.53,是,中（改成20%）,中（保持20%）,stop_loss,数据缺失,3.0,1000.00,否,,,0.092500,4.93%,5.00%,0.094440,7.14%,5.00%,0.107400,,5.00%,5.00%,5.00%,8.51%,,,,,,,,,
50,1000000BOBUSDT,57.7,39.0,65.1,0.599,,,,0.0051,2026-04-03 07:00,0.012020,2026-04-03,2026-04-03 08:00:00,2026-04-03 08:00:00,,0.011860,-1.33%,2026-04-06,2026-04-06 08:00:00,0.012010,72.0,-1.26%,0.6000,,0.6076,1.2076,-37.94,-39.15,-39.15,-39.15,9884.38,否,中（改成20%）,弱（12%）,max_hold_time,数据缺失,3.0,1000.00,否,,,0.011730,-1.10%,2.28%,0.011220,-5.40%,7.93%,0.011120,-6.24%,9.87%,9.87%,9.87%,1.60%,,,,,,,,,
51,MAGICUSDT,76.0,21.1,22.4,0.938,,,,-0.0649,2026-04-03 10:00,0.067180,2026-04-03,2026-04-03 11:00:00,2026-04-03 11:00:00,,0.066070,-1.65%,2026-04-04,2026-04-04 18:00:00,0.058142,31.0,12.00%,0.6000,,0.5280,1.1280,360.00,358.87,358.87,358.87,10243.25,是,中（改成20%）,强（30%）,take_profit,数据缺失,3.0,1000.00,否,,,0.062270,-5.75%,6.89%,0.059220,-10.37%,10.85%,0.059890,-9.35%,11.58%,15.18%,12.00%,2.09%,,12.0%,,,,,,,
52,POLYXUSDT,88.6,148.5,140.4,1.058,,,,-0.0797,2026-04-04 00:00,0.052120,2026-04-04,2026-04-04 01:00:00,2026-04-04 01:00:00,,0.051570,-1.06%,2026-04-07,2026-04-07 01:00:00,0.046100,72.0,10.61%,0.6000,,0.5364,1.1364,318.21,317.07,317.07,317.07,10560.32,是,中（改成20%）,弱（12%）,max_hold_time,数据缺失,3.0,1000.00,否,,,0.052590,1.98%,1.80%,0.053300,3.35%,1.80%,0.051330,-0.47%,3.94%,10.98%,10.98%,4.13%,,,,,,,,,
53,TUSDT,85.3,207.5,127.3,1.630,,,,0.1448,2026-04-05 00:00,0.006459000000,2026-04-05,2026-04-05 01:00:00,2026-04-05 01:00:00,,0.006393000000,-1.02%,2026-04-08,2026-04-08 01:00:00,0.006326000000,72.0,1.05%,0.6000,,0.5937,1.1937,31.44,30.25,30.25,30.25,10590.57,否,中（改成20%）,弱（12%）,max_hold_time,数据缺失,3.0,1000.00,否,,,0.006366,-0.42%,2.33%,0.006050,-5.37%,5.57%,0.006094,-4.68%,6.38%,6.48%,6.48%,1.30%,,,,,,,,,
54,SAFEUSDT,35.2,4.7,6.8,0.695,,,,-0.4033,2026-04-05 06:00,0.125500,2026-04-05,2026-04-05 07:00:00,2026-04-05 07:00:00,,0.125800,0.24%,2026-04-06,2026-04-06 03:00:00,0.111962,20.0,11.00%,0.6000,,0.5340,1.1340,330.00,328.87,328.87,328.87,10919.43,是,中（改成20%）,弱（12%）,take_profit,数据缺失,3.0,1000.00,否,,,0.123100,-2.15%,3.58%,0.116100,-7.71%,8.66%,0.111200,,11.84%,13.91%,11.37%,3.74%,,11.0%,,,,,,,
55,KOMAUSDT,152.3,38.0,34.4,1.104,,,,-0.0384,2026-04-05 07:00,0.008552000000,2026-04-05,2026-04-05 08:00:00,2026-04-05 08:00:00,,0.008874000000,3.77%,2026-04-05,2026-04-05 08:30:00,0.010294,0.5,-16.00%,0.6000,,0.6960,1.2960,-480.00,-481.30,-481.30,-481.30,10438.14,是,强（2h内默认）,强（保持30%）,stop_loss,数据缺失,3.0,1000.00,否,,,0.012708,43.20%,6.39%,0.010167,14.57%,6.39%,0.009601,,6.39%,11.26%,6.39%,48.74%,,,,,,,,,
56,BROCCOLIF3BUSDT,75.7,20.0,13.9,1.439,,,,-0.2844,2026-04-05 08:00,0.004543000000,2026-04-05,2026-04-05 09:00:00,2026-04-05 09:00:00,,0.004419000000,-2.73%,2026-04-05,2026-04-05 10:00:00,0.003888720000,1.0,12.00%,0.6000,,0.5280,1.1280,360.00,358.87,358.87,358.87,10797.01,是,强（2h内默认）,强（保持30%）,take_profit,数据缺失,3.0,1000.00,否,,,0.004077,-7.74%,13.03%,0.003683,-16.66%,22.13%,0.003693,,22.13%,24.21%,13.03%,8.89%,,12.0%,,,,,,,
57,GUSDT,47.0,20.4,30.8,0.664,,,,0.2892,2026-04-05 09:00,0.003618000000,2026-04-05,2026-04-05 10:00:00,2026-04-05 10:00:00,,0.003622000000,0.11%,2026-04-08,2026-04-08 10:00:00,0.003721000000,72.0,-2.73%,0.6000,,0.6164,1.2164,-82.00,-83.22,-83.22,-83.22,10713.79,否,中（改成20%）,弱（12%）,max_hold_time,数据缺失,3.0,1000.00,否,,,0.003628,0.17%,2.29%,0.003560,-1.71%,2.90%,0.003615,-0.19%,2.90%,2.90%,2.90%,0.91%,,,,,,,,,
58,ZRXUSDT,136.0,11.9,11.9,1.006,,,,-0.0667,2026-04-06 06:00,0.110900,2026-04-06,2026-04-06 07:00:00,2026-04-06 07:00:00,,0.110300,-0.54%,2026-04-09,2026-04-09 07:00:00,0.102200,72.0,7.34%,0.6000,,0.5559,1.1559,220.31,219.15,219.15,219.15,10932.95,是,中（改成20%）,弱（12%）,max_hold_time,数据缺失,3.0,1000.00,否,,,0.108300,-1.81%,3.45%,0.104900,-4.90%,5.89%,0.099200,-10.06%,10.97%,10.97%,10.97%,0.91%,,,,,,,,,
59,TREEUSDT,101.3,27.8,30.7,0.905,,,,-0.2064,2026-04-06 07:00,0.062110,2026-04-06,2026-04-06 08:00:00,2026-04-06 08:00:00,,0.060850,-2.03%,2026-04-06,2026-04-06 15:00:00,0.070586,7.0,-16.00%,0.6000,,0.6960,1.2960,-480.00,-481.30,-481.30,-481.30,10451.65,是,中（改成20%）,中（保持20%）,stop_loss,数据缺失,3.0,1000.00,否,,,0.060660,-0.31%,2.09%,0.066360,9.06%,3.88%,0.061250,,3.88%,6.44%,3.88%,6.82%,,,,,,,,,
60,ZKCUSDT,110.5,19.2,19.3,0.995,,,,-0.0347,2026-04-06 14:00,0.073370,2026-04-06,2026-04-06 15:00:00,2026-04-06 15:00:00,,0.072970,-0.55%,2026-04-09,2026-04-09 15:00:00,0.072050,72.0,1.26%,0.6000,,0.5924,1.1924,37.82,36.63,36.63,36.63,10488.28,否,中（改成20%）,弱（12%）,max_hold_time,数据缺失,3.0,1000.00,否,,,0.072760,-0.29%,0.73%,0.069460,-4.81%,5.44%,0.069340,-4.97%,5.71%,5.71%,5.71%,0.96%,,,,,,,,,
61,FUSDT,124.8,109.0,65.8,1.657,,,,0.0538,2026-04-07 00:00,0.005877000000,2026-04-07,2026-04-07 01:00:00,2026-04-07 01:00:00,,0.005878000000,0.02%,2026-04-07,2026-04-07 03:00:00,0.005172640000,2.0,12.00%,0.6000,,0.5280,1.1280,360.00,358.87,358.87,358.87,10847.15,是,强（保持30%）,强（保持30%）,take_profit,数据缺失,3.0,1000.00,否,,,0.005241,-10.84%,11.40%,0.005105,-13.15%,14.26%,0.005234,,14.26%,14.26%,12.64%,0.85%,,12.0%,,,,,,,
62,GTCUSDT,79.5,21.3,18.1,1.176,,,,-0.1936,2026-04-07 05:00,0.080000,2026-04-07,2026-04-07 06:00:00,2026-04-07 06:00:00,,0.078000,-2.50%,2026-04-10,2026-04-10 06:00:00,0.077600,72.0,0.51%,0.6000,,0.5969,1.1969,15.38,14.19,14.19,14.19,10861.34,否,中（改成20%）,弱（12%）,max_hold_time,数据缺失,3.0,1000.00,否,,,0.076200,-2.31%,5.13%,0.075900,-2.69%,5.13%,0.082800,6.15%,5.13%,5.13%,5.13%,3.85%,,,,,,,,,
63,EDUUSDT,52.5,27.4,26.2,1.045,,,,0.0401,2026-04-08 05:00,0.056610,2026-04-08,2026-04-08 06:00:00,2026-04-08 06:00:00,,0.053040,-6.31%,2026-04-08,2026-04-08 14:00:00,0.047206,8.0,11.00%,0.6000,,0.5340,1.1340,330.00,328.87,328.87,328.87,11190.21,是,中（改成20%）,中（保持20%）,take_profit,数据缺失,3.0,1000.00,否,,,0.053270,0.43%,4.19%,0.045970,-13.33%,14.88%,0.045050,,18.40%,18.51%,11.37%,7.30%,,11.0%,,,,,,,
64,TAKEUSDT,74.7,16.4,7.9,2.082,,,,-0.0701,2026-04-08 11:00,0.021190,2026-04-08,2026-04-08 12:00:00,2026-04-08 12:00:00,,0.021600,1.93%,2026-04-08,2026-04-08 13:00:00,0.019008,1.0,12.00%,0.6000,,0.5280,1.1280,360.00,358.87,358.87,358.87,11549.08,是,强（2h内默认）,强（保持30%）,take_profit,数据缺失,3.0,1000.00,否,,,0.018960,-12.22%,15.09%,0.019650,-9.03%,15.09%,0.020380,,15.09%,15.09%,15.09%,5.09%,,12.0%,,,,,,,
65,XMRUSDT,32.9,12.7,18.7,0.679,,,,0.1411,2026-04-08 14:00,328.140000,2026-04-08,2026-04-08 15:00:00,2026-04-08 15:00:00,,328.860000,0.22%,2026-04-11,2026-04-11 15:00:00,338.920000,72.0,-3.06%,0.6000,,0.6184,1.2184,-91.77,-92.99,-92.99,-92.99,11456.09,否,中（改成20%）,弱（12%）,max_hold_time,数据缺失,3.0,1000.00,否,,,335.420000,1.99%,0.71%,326.050000,-0.85%,2.33%,332.680000,1.16%,2.33%,2.33%,2.33%,2.85%,,,,,,,,,
66,ENJUSDT,178.2,97.7,78.2,1.249,,,,-0.0989,2026-04-08 15:00,0.024870,2026-04-08,2026-04-08 16:00:00,2026-04-08 16:00:00,,0.026200,5.35%,2026-04-09,2026-04-09 02:00:00,0.030392,10.0,-16.00%,0.6000,,0.6960,1.2960,-480.00,-481.30,-481.30,-481.30,10974.79,是,中（改成20%）,中（保持20%）,stop_loss,数据缺失,3.0,1000.00,否,,,0.027190,3.78%,6.95%,0.034700,32.44%,6.95%,0.030180,,6.95%,6.95%,6.95%,9.01%,,,,,,,,,
67,RVNUSDT,61.1,30.0,27.8,1.079,,,,-0.1374,2026-04-09 01:00,0.005700000000,2026-04-09,2026-04-09 02:00:00,2026-04-09 02:00:00,,0.005710000000,0.18%,2026-04-12,2026-04-12 02:00:00,0.005570000000,72.0,2.45%,0.6000,,0.5853,1.1853,73.56,72.37,72.37,72.37,11047.16,否,中（改成20%）,弱（12%）,max_hold_time,数据缺失,3.0,1000.00,否,,,0.005700,-0.18%,0.35%,0.005670,-0.70%,1.23%,0.005730,0.35%,1.23%,2.98%,2.98%,1.23%,,,,,,,,,
68,FIOUSDT,241.5,296.6,316.8,0.936,,,,0.1045,2026-04-09 06:00,0.005196000000,2026-04-09,2026-04-09 07:00:00,2026-04-09 07:00:00,,0.005154000000,-0.81%,2026-04-10,2026-04-10 03:00:00,0.004587060000,20.0,11.00%,0.6000,,0.5340,1.1340,330.00,328.87,328.87,328.87,11376.03,是,中（改成20%）,弱（12%）,take_profit,数据缺失,3.0,1000.00,否,,,0.004737,-8.09%,9.24%,0.005056,-1.90%,9.25%,0.004799,,15.99%,23.05%,12.67%,2.68%,,11.0%,,,,,,,
69,RAVEUSDT,76.4,7.4,6.4,1.162,,,,0.0143,2026-04-09 15:00,0.458630,2026-04-09,2026-04-09 16:00:00,2026-04-09 16:00:00,,0.456450,-0.48%,2026-04-09,2026-04-09 18:00:00,0.529482,2.0,-16.00%,0.6000,,0.6960,1.2960,-480.00,-481.30,-481.30,-481.30,10894.73,是,中（改成20%）,中（保持20%）,stop_loss,数据缺失,3.0,1000.00,否,,,0.484170,6.07%,3.35%,1.011300,121.56%,3.35%,1.474700,,3.35%,3.35%,3.35%,10.59%,,,,,,,,,
70,AKEUSDT,203.0,66.0,42.7,1.547,,,,-0.0266,2026-04-09 17:00,0.000349100000,2026-04-09,2026-04-09 18:00:00,2026-04-09 18:00:00,,0.000344700000,-1.26%,2026-04-09,2026-04-09 20:00:00,0.000399852000,2.0,-16.00%,0.6000,,0.6960,1.2960,-480.00,-481.30,-481.30,-481.30,10413.44,是,中（改成20%）,中（保持20%）,stop_loss,数据缺失,3.0,1000.00,否,,,0.000375,8.88%,2.00%,0.000402,16.54%,3.92%,0.000456,,3.92%,3.92%,2.00%,11.63%,,,,,,,,,
71,NAORISUSDT,93.4,10.5,10.3,1.014,,,,-0.0679,2026-04-09 19:00,0.069420,2026-04-09,2026-04-09 20:00:00,2026-04-09 20:00:00,,0.069750,0.48%,2026-04-10,2026-04-10 00:00:00,0.062078,4.0,11.00%,0.6000,,0.5340,1.1340,330.00,328.87,328.87,328.87,10742.30,否,中（改成20%）,中（保持20%）,take_profit,数据缺失,3.0,1000.00,否,,,0.071260,2.16%,3.97%,0.064400,-7.67%,12.06%,0.059890,,28.14%,28.14%,12.06%,7.60%,,11.0%,,,,,,,
72,ALLOUSDT,298.6,3.6,7.6,0.466,,,,0.0672,2026-04-10 00:00,0.103090,2026-04-10,2026-04-10 01:00:00,2026-04-10 01:00:00,,0.102960,-0.13%,2026-04-13,2026-04-13 01:00:00,0.109060,72.0,-5.92%,0.6000,,0.6355,1.2355,-177.74,-178.97,-178.97,-178.97,10563.33,是,中（改成20%）,弱（12%）,max_hold_time,数据缺失,3.0,1000.00,否,,,0.103620,0.64%,0.43%,0.101530,-1.39%,1.70%,0.098950,-3.84%,5.21%,5.21%,5.21%,1.00%,,,,,,,,,
73,JELLYJELLYUSDT,249.4,14.9,10.8,1.373,,,,-0.0278,2026-04-10 02:00,0.045180,2026-04-10,2026-04-10 03:00:00,2026-04-10 03:00:00,,0.044880,-0.66%,2026-04-13,2026-04-13 03:00:00,0.042480,72.0,5.35%,0.6000,,0.5679,1.1679,160.43,159.26,159.26,159.26,10722.59,是,中（改成20%）,弱（12%）,max_hold_time,数据缺失,3.0,1000.00,否,,,0.044990,0.25%,1.16%,0.045870,2.21%,1.16%,0.044260,-1.38%,3.48%,6.97%,6.97%,1.65%,,,,,,,,,
74,AZTECUSDT,189.8,18.5,17.9,1.034,,,,-0.1703,2026-04-10 05:00,0.020690,2026-04-10,2026-04-10 06:00:00,2026-04-10 06:00:00,,0.020720,0.14%,2026-04-13,2026-04-13 06:00:00,0.020830,72.0,-0.53%,0.6000,,0.6032,1.2032,-15.93,-17.13,-17.13,-17.13,10705.46,是,中（改成20%）,弱（12%）,max_hold_time,数据缺失,3.0,1000.00,否,,,0.020020,-3.38%,3.96%,0.020880,0.77%,3.96%,0.021380,3.19%,3.96%,4.39%,4.39%,0.82%,,,,,,,,,
75,AINUSDT,68.3,40.1,146.5,0.274,,,,0.2388,2026-04-11 14:00,0.066420,2026-04-11,2026-04-11 15:00:00,2026-04-11 15:00:00,,0.066080,-0.51%,2026-04-11,2026-04-11 18:00:00,0.076653,3.0,-16.00%,0.6000,,0.6960,1.2960,-480.00,-481.30,-481.30,-481.30,10224.16,否,中（改成20%）,中（保持20%）,stop_loss,数据缺失,3.0,1000.00,否,,,0.067980,2.88%,3.57%,0.094510,43.02%,3.57%,0.087020,,3.57%,3.57%,3.57%,5.99%,,,,,,,,,
76,MANTAUSDT,186.4,23.0,21.1,1.091,,,,0.1132,2026-04-11 18:00,0.066500,2026-04-11,2026-04-11 19:00:00,2026-04-11 19:00:00,,0.066170,-0.50%,2026-04-14,2026-04-14 19:00:00,0.064660,72.0,2.28%,0.6000,,0.5863,1.1863,68.46,67.27,67.27,67.27,10291.44,否,中（改成20%）,弱（12%）,max_hold_time,数据缺失,3.0,1000.00,否,,,0.066490,0.48%,0.73%,0.064950,-1.84%,3.73%,0.064790,-2.09%,5.06%,5.06%,5.06%,1.54%,,,,,,,,,
77,SPYUSDT,293.2,14.4,50.0,0.288,,,,6.0622,2026-04-12 01:00,677.930000,2026-04-12,2026-04-12 02:00:00,2026-04-12 02:00:00,,677.860000,-0.01%,2026-04-15,2026-04-15 02:00:00,693.570000,72.0,-2.32%,0.6000,,0.6139,1.2139,-69.53,-70.74,-70.74,-70.74,10220.70,是,中（改成20%）,弱（12%）,max_hold_time,数据缺失,3.0,1000.00,否,,,678.050000,0.03%,0.00%,677.250000,-0.09%,0.17%,674.220000,-0.54%,0.94%,0.94%,0.94%,0.03%,,,,,,,,,
78,INXUSDT,73.7,3.3,3.7,0.895,,,,0.0475,2026-04-13 00:00,0.018536,2026-04-13,2026-04-13 01:00:00,2026-04-13 01:00:00,,0.018520,-0.09%,2026-04-13,2026-04-13 05:00:00,0.021483,4.0,-16.00%,0.6000,,0.6960,1.2960,-480.00,-481.30,-481.30,-481.30,9739.40,是,中（改成20%）,中（保持20%）,stop_loss,数据缺失,3.0,1000.00,否,,,0.017503,-5.49%,7.37%,0.017097,-7.68%,10.29%,0.014940,,22.09%,35.03%,7.37%,1.94%,,,,,,,,,
79,STABLEUSDT,134.7,53.0,52.7,1.007,,,,-0.0841,2026-04-13 02:00,0.030810,2026-04-13,2026-04-13 03:00:00,2026-04-13 03:00:00,,0.028630,-7.08%,2026-04-13,2026-04-13 16:00:00,0.025481,13.0,11.00%,0.6000,,0.5340,1.1340,330.00,328.87,328.87,328.87,10068.27,是,中（改成20%）,弱（12%）,take_profit,数据缺失,3.0,1000.00,否,,,0.028180,-1.57%,8.07%,0.027020,-5.62%,9.47%,0.026940,,12.64%,12.64%,12.64%,7.79%,,11.0%,,,,,,,
80,TSTUSDT,36.4,13.7,30.5,0.448,,,,0.2802,2026-04-13 07:00,0.009080000000,2026-04-13,2026-04-13 08:00:00,2026-04-13 08:00:00,,0.009251000000,1.88%,2026-04-13,2026-04-13 16:00:00,0.010731,8.0,-16.00%,0.6000,,0.6960,1.2960,-480.00,-481.30,-481.30,-481.30,9586.97,是,中（改成20%）,中（保持20%）,stop_loss,数据缺失,3.0,1000.00,否,,,0.008785,-5.04%,7.77%,0.010421,12.65%,8.39%,0.009662,,8.39%,8.39%,8.39%,3.32%,,,,,,,,,
81,MITOUSDT,128.9,20.2,17.4,1.163,,,,-0.1459,2026-04-13 10:00,0.036230,2026-04-13,2026-04-13 11:00:00,2026-04-13 11:00:00,,0.036150,-0.22%,2026-04-16,2026-04-16 11:00:00,0.036330,72.0,-0.50%,0.6000,,0.6030,1.2030,-14.94,-16.14,-16.14,-16.14,9570.83,是,中（改成20%）,弱（12%）,max_hold_time,数据缺失,3.0,1000.00,否,,,0.036190,0.11%,0.58%,0.036380,0.64%,3.87%,0.036330,0.50%,3.87%,3.87%,3.87%,2.02%,,,,,,,,,
82,LIGHTUSDT,71.5,11.0,6.3,1.737,,,,0.1258,2026-04-13 15:00,0.161400,2026-04-13,2026-04-13 16:00:00,2026-04-13 16:00:00,,0.175700,8.86%,2026-04-16,2026-04-16 08:00:00,0.203812,64.0,-16.00%,0.6000,,0.6960,1.2960,-480.00,-481.30,-481.30,-481.30,9089.53,是,中（改成20%）,弱（12%）,stop_loss,数据缺失,3.0,1000.00,否,,,0.174900,-0.46%,9.22%,0.176200,0.28%,9.22%,0.175400,-0.17%,9.22%,9.22%,9.22%,7.06%,,,,,,,,,
83,EVAAUSDT,222.9,3.9,4.5,0.865,,,,-0.0138,2026-04-14 00:00,1.069700,2026-04-14,2026-04-14 01:05:00,2026-04-14 01:05:00,,0.885900,-17.18%,2026-04-14,2026-04-14 06:00:00,0.788451,4.92,11.00%,0.6000,,0.5340,1.1340,330.00,328.87,328.87,328.87,9418.40,是,中（改成20%）,中（保持20%）,take_profit,数据缺失,3.0,1000.00,否,,,0.872300,-1.54%,8.34%,0.889400,0.40%,12.52%,0.846700,,12.52%,18.32%,12.52%,2.19%,,11.0%,,,,,,,
84,SPORTFUNUSDT,220.2,3.6,4.0,0.920,,,,0.2064,2026-04-14 00:00,0.036440,2026-04-14,2026-04-14 01:00:00,2026-04-14 01:00:00,,0.036980,1.48%,2026-04-14,2026-04-14 13:00:00,0.039190,12.0,-5.98%,0.6000,,0.6359,1.2359,-179.29,-180.52,-180.52,-180.52,9237.88,是,中（改成20%）,弱（12%）,early_stop_loss_12h,数据缺失,3.0,1000.00,否,,,0.038410,3.87%,0.81%,0.039190,5.98%,0.81%,0.039230,,0.81%,0.81%,0.81%,4.14%,,,,,,,,,
85,METISUSDT,109.8,5.5,3.7,1.470,,,,-0.1558,2026-04-14 05:00,3.141000,2026-04-14,2026-04-14 06:00:00,2026-04-14 06:00:00,,3.166000,0.80%,2026-04-17,2026-04-17 06:00:00,3.461000,72.0,-9.32%,0.6000,,0.6559,1.2559,-279.53,-280.79,-280.79,-280.79,8957.09,是,中（改成20%）,弱（12%）,max_hold_time,数据缺失,3.0,1000.00,否,,,3.092000,-2.34%,2.87%,3.061000,-3.32%,3.60%,3.068000,-3.10%,5.18%,5.18%,5.18%,1.04%,,,,,,,,,
86,1000LUNCUSDT,42.2,9.9,32.4,0.305,,,,0.5684,2026-04-14 18:00,0.040630,2026-04-14,2026-04-14 19:00:00,2026-04-14 19:00:00,,0.040600,-0.07%,2026-04-17,2026-04-17 01:00:00,0.047096,54.0,-16.00%,0.6000,,0.6960,1.2960,-480.00,-481.30,-481.30,-481.30,8475.79,否,中（改成20%）,弱（12%）,stop_loss,数据缺失,3.0,1000.00,否,,,0.040510,-0.22%,0.37%,0.040930,0.81%,0.37%,0.041930,3.28%,0.37%,0.37%,0.37%,0.79%,,,,,,,,,
87,ALICEUSDT,207.5,139.5,49.1,2.839,,,,0.1957,2026-04-15 01:00,0.111000,2026-04-15,2026-04-15 02:00:00,2026-04-15 02:00:00,,0.110000,-0.90%,2026-04-18,2026-04-18 00:00:00,0.127600,70.0,-16.00%,0.6000,,0.6960,1.2960,-480.00,-481.30,-481.30,-481.30,7994.50,是,中（改成20%）,弱（12%）,stop_loss,数据缺失,3.0,1000.00,否,,,0.109000,-0.91%,0.91%,0.111000,0.91%,0.91%,0.114000,3.64%,0.91%,0.91%,0.91%,0.91%,,,,,,,,,
88,AGTUSDT,201.3,4.9,9.7,0.505,,,,-0.1626,2026-04-16 07:00,0.012536,2026-04-16,2026-04-16 08:00:00,2026-04-16 08:00:00,,0.012534,-0.02%,2026-04-17,2026-04-17 09:00:00,0.011155,25.0,11.00%,0.6000,,0.5340,1.1340,330.00,328.87,328.87,328.87,8323.36,是,中（改成20%）,弱（12%）,take_profit,数据缺失,3.0,1000.00,否,,,0.012699,1.32%,2.98%,0.012045,-3.90%,10.76%,0.012650,0.93%,10.76%,11.60%,11.60%,3.44%,,11.0%,,,,,,,
