# moonshot:max_positions=5
序号,交易对,卖量暴涨倍数,当日买量倍数,当日卖量倍数,买卖量比值,信号时未平仓量,建仓时未平仓量,未平仓量比率,买量加速度,信号时间,信号价,建仓日期,建仓具体时间,建仓5分钟时刻,建仓时多空比,建仓价,建仓涨幅%,平仓日期,平仓具体时间,平仓价,持仓小时数,盈亏百分比,建仓手续费,补仓手续费,平仓手续费,交易手续费合计,盈亏金额,扣交易费后,最终净盈亏,真实盈亏金额,余额,连续爆,2小时判断,12小时判断,平仓原因,基差%,杠杆倍数,仓位金额,是否有补仓,补仓价格,补仓后平均价,2h收盘价,2h涨幅%,2h最大跌幅%,12h收盘价,12h涨幅%,12h最大跌幅%,24h收盘价,24小时涨幅%,24h最大跌幅%,72h最大跌幅%,最大跌幅%,2小时最大涨幅%,24小时最大涨幅%,止盈阈值%,建仓时账户多空比,信号时账户多空比,多空比变化率,当前5m时间,当前5m收盘价,当前浮盈金额,当前浮盈百分比
11,IMXUSDT,62.9,14.9,8.5,1.755,,,,-0.3791,2026-03-22 00:00,0.166400,2026-03-22,2026-03-22 01:00:00,2026-03-22 01:00:00,,0.161500,-2.94%,2026-03-25,2026-03-25 01:00:00,0.153000,72.0,5.26%,0.6000,,0.5684,1.1684,157.89,156.73,156.73,156.73,11412.88,否,中（改成20%）,弱（12%）,max_hold_time,数据缺失,3.0,1000.00,否,,,0.164000,1.55%,1.67%,0.160800,-0.43%,1.67%,0.153600,-4.89%,5.82%,7.80%,7.80%,3.16%,,,,,,,,,
12,TREEUSDT,48.8,81.9,26.8,3.051,,,,-0.0352,2026-03-22 11:00,0.063330,2026-03-22,2026-03-22 12:00:00,2026-03-22 12:00:00,,0.063320,-0.02%,2026-03-25,2026-03-25 12:00:00,0.064390,72.0,-1.69%,0.6000,,0.6101,1.2101,-50.69,-51.91,-51.91,-51.91,11360.98,否,中（改成20%）,弱（12%）,max_hold_time,数据缺失,3.0,1000.00,否,,,0.063620,0.47%,0.25%,0.062870,-0.71%,1.99%,0.063210,-0.17%,3.68%,3.68%,3.68%,0.98%,,,,,,,,,
13,IOTXUSDT,44.7,71.9,57.3,1.255,,,,-0.0395,2026-03-24 07:00,0.005800000000,2026-03-24,2026-03-24 08:00:00,2026-03-24 08:00:00,,0.005820000000,0.34%,2026-03-26,2026-03-26 02:00:00,0.005121600000,42.0,12.00%,0.6000,,0.5280,1.1280,360.00,358.87,358.87,358.87,11719.85,否,中（改成20%）,强（30%）,take_profit,数据缺失,3.0,1000.00,否,,,0.005440,-6.53%,7.56%,0.005360,-7.90%,10.14%,0.005310,-8.76%,10.14%,15.98%,12.03%,1.37%,,12.0%,,,,,,,
14,ONGUSDT,61.5,32.2,38.7,0.832,,,,0.1945,2026-03-24 10:00,0.064650,2026-03-24,2026-03-24 11:00:00,2026-03-24 11:00:00,,0.066220,2.43%,2026-03-26,2026-03-26 10:00:00,0.058936,47.0,11.00%,0.6000,,0.5340,1.1340,330.00,328.87,328.87,328.87,12048.71,是,中（改成20%）,弱（12%）,take_profit,数据缺失,3.0,1000.00,否,,,0.065770,-0.68%,4.86%,0.064530,-2.55%,5.32%,0.063860,-3.56%,5.60%,14.24%,11.31%,3.82%,,11.0%,,,,,,,
15,TRADOORUSDT,63.4,49.9,49.0,1.018,,,,-0.0840,2026-03-24 16:00,2.158000,2026-03-24,2026-03-24 17:00:00,2026-03-24 17:00:00,,2.187000,1.34%,2026-03-26,2026-03-26 16:00:00,2.536920,47.0,-16.00%,0.6000,,0.6960,1.2960,-480.00,-481.30,-481.30,-481.30,11567.42,否,中（改成20%）,弱（12%）,stop_loss,数据缺失,3.0,1000.00,否,,,2.196000,0.41%,4.34%,2.089000,-4.48%,7.96%,2.351000,7.50%,7.96%,7.96%,7.96%,0.59%,,,,,,,,,
16,AXLUSDT,65.8,106.5,79.8,1.335,,,,0.2448,2026-03-25 00:00,0.053320,2026-03-25,2026-03-25 01:25:00,2026-03-25 01:25:00,,0.052650,-1.26%,2026-03-26,2026-03-26 20:00:00,0.046859,42.58,11.00%,0.6000,,0.5340,1.1340,330.00,328.87,328.87,328.87,11896.28,是,中（改成20%）,弱（12%）,take_profit,数据缺失,3.0,1000.00,否,,,0.052600,-0.09%,1.54%,0.051290,-2.58%,3.23%,0.050000,-4.62%,5.64%,12.27%,11.02%,1.35%,,11.0%,,,,,,,
17,MUSDT,80.0,9.8,11.3,0.870,,,,0.1679,2026-03-25 14:00,2.613800,2026-03-25,2026-03-25 15:00:00,2026-03-25 15:00:00,,2.397300,-8.28%,2026-03-26,2026-03-26 11:00:00,2.133597,20.0,11.00%,0.6000,,0.5340,1.1340,330.00,328.87,328.87,328.87,12225.15,是,中（改成20%）,弱（12%）,take_profit,数据缺失,3.0,1000.00,否,,,2.393400,-0.16%,10.23%,2.431800,1.44%,10.23%,2.061100,,19.36%,19.36%,12.25%,12.87%,,11.0%,,,,,,,
18,MEMEUSDT,61.7,4.5,3.7,1.209,,,,0.2054,2026-03-26 06:00,0.000579000000,2026-03-26,2026-03-26 07:00:00,2026-03-26 07:00:00,,0.000584600000,0.97%,2026-03-28,2026-03-28 00:00:00,0.000526140000,41.0,10.00%,0.6000,,0.5400,1.1400,300.00,298.86,298.86,298.86,12524.01,否,中（改成20%）,弱（12%）,take_profit,数据缺失,3.0,1000.00,否,,,0.000580,-0.80%,3.13%,0.000564,-3.52%,4.57%,0.000558,-4.53%,4.76%,14.66%,10.42%,1.80%,,10.0%,,,,,,,
19,KNCUSDT,69.5,26.3,31.0,0.850,,,,0.1814,2026-03-26 10:00,0.137100,2026-03-26,2026-03-26 11:00:00,2026-03-26 11:00:00,,0.138200,0.80%,2026-03-27,2026-03-27 05:00:00,0.160312,18.0,-16.00%,0.6000,,0.6960,1.2960,-480.00,-481.30,-481.30,-481.30,12042.71,否,中（改成20%）,弱（12%）,stop_loss,数据缺失,3.0,1000.00,否,,,0.136700,-1.09%,2.32%,0.138500,0.22%,2.32%,0.164100,,2.32%,2.32%,2.32%,0.58%,,,,,,,,,
20,DYMUSDT,49.0,44.7,39.4,1.137,,,,-0.0533,2026-03-26 11:00,0.030150,2026-03-26,2026-03-26 12:00:00,2026-03-26 12:00:00,,0.029750,-1.33%,2026-03-27,2026-03-27 19:00:00,0.026775,31.0,10.00%,0.6000,,0.5400,1.1400,300.00,298.86,298.86,298.86,12341.57,否,中（改成20%）,弱（12%）,take_profit,数据缺失,3.0,1000.00,否,,,0.029050,-2.35%,5.61%,0.028450,-4.37%,6.02%,0.027400,-7.90%,8.91%,16.17%,10.79%,1.51%,,10.0%,,,,,,,
