序号,交易对,卖量暴涨倍数,当日买量倍数,当日卖量倍数,买卖量比值,信号时未平仓量,建仓时未平仓量,未平仓量比率,买量加速度,信号时间,信号价,建仓日期,建仓具体时间,建仓后持仓数,平仓后持仓数,建仓5分钟时刻,建仓时多空比,建仓价,建仓涨幅%,平仓日期,平仓具体时间,平仓价,持仓小时数,盈亏百分比,建仓手续费,补仓手续费,平仓手续费,交易手续费合计,资金费,资金费次数,平均费率%,盈亏金额,扣交易费后,最终净盈亏,真实盈亏金额,余额,连续爆,2小时判断,12小时判断,平仓原因,基差%,杠杆倍数,仓位金额,是否有补仓,补仓价格,补仓后平均价,2h收盘价,2h涨幅%,2h最大跌幅%,12h收盘价,12h涨幅%,12h最大跌幅%,24h收盘价,24小时涨幅%,24h最大跌幅%,72h最大跌幅%,最大跌幅%,2小时最大涨幅%,24小时最大涨幅%,止盈阈值%,建仓时账户多空比,信号时账户多空比,多空比变化率,当前5m时间,当前5m收盘价,当前浮盈金额,当前浮盈百分比
11,BOBUSDT,101.2,12.0,9.7,1.240,"$1,216,542","$1,375,870",0.884,0.0000,2026-03-21 23:00,0.006037,2026-03-22,2026-03-22 00:00:00,2,2,2026-03-22 00:00:00,1.92,0.005968,-1.14%,2026-03-24,2026-03-24 23:55:00,0.005639,71.92,5.51%,2.2915,,2.1652,4.4567,0.0000,,,631.63,627.17,627.17,627.17,13826.54,是,中（改成20%）,弱（12%）,max_hold_time,-1.1499%,5.0,2291.52,否,,,0.005940,-0.47%,1.86%,0.005676,-4.89%,5.95%,0.005567,-6.72%,7.66%,9.50%,9.50%,5.70%,,,1.9206,2.1576,0.8902,,,,
12,IMXUSDT,62.9,14.9,8.5,1.755,"$3,003,478","$4,161,586",0.722,0.0000,2026-03-22 00:00,0.166400,2026-03-22,2026-03-22 01:00:00,3,4,2026-03-22 01:00:00,1.39,0.161500,-2.94%,2026-03-25,2026-03-25 00:55:00,0.153500,71.92,4.95%,2.2915,,2.1780,4.4695,0.0000,,,567.56,563.09,563.09,563.09,14389.63,否,中（改成20%）,弱（12%）,max_hold_time,-0.6928%,5.0,2291.52,否,,,0.164000,1.55%,1.67%,0.160800,-0.43%,1.67%,0.153600,-4.89%,5.82%,7.80%,7.80%,3.16%,,,1.3929,1.3821,1.0078,,,,
13,RESOLVUSDT,34.9,16.8,18.7,0.900,"$5,031,527","$5,331,917",0.944,0.0000,2026-03-22 02:00,0.056770,2026-03-22,2026-03-22 03:00:00,4,3,2026-03-22 03:00:00,0.67,0.056820,0.09%,2026-03-22,2026-03-22 09:25:00,0.050570,6.42,11.00%,2.2915,,2.0395,4.3310,0.0000,,,1260.34,1256.01,1256.01,1256.01,15645.64,是,中（改成20%）,中（保持20%）,take_profit,-1.3131%,5.0,2291.52,否,,,0.054630,-3.85%,5.88%,0.053540,-5.77%,11.93%,0.056740,,11.93%,19.36%,11.93%,2.53%,,11.0%,0.6731,0.6756,0.9963,,,,
14,BANANAS31USDT,34.5,15.2,13.4,1.137,"$30,405,672","$35,975,408",0.845,0.0000,2026-03-22 07:00,0.011935,2026-03-22,2026-03-22 08:00:00,4,3,2026-03-22 08:00:00,0.50,0.012024,0.75%,2026-03-22,2026-03-22 10:45:00,0.013587,2.75,-13.00%,2.5302,,2.8591,5.3892,0.0000,,,-1644.61,-1649.99,-1649.99,-1649.99,13995.64,是,中（推断20%）,中（保持20%）,stop_loss,0.1625%,5.0,2530.16,否,,,0.012976,7.92%,2.73%,0.013385,11.32%,2.73%,0.013513,,2.73%,2.73%,2.73%,12.28%,,,0.4995,0.4476,1.1160,,,,
15,USUSDT,39.7,14.5,25.1,0.578,"$1,139,816","$1,106,264",1.030,0.0000,2026-03-22 08:00,0.003009,2026-03-22,2026-03-22 09:00:00,4,3,2026-03-22 09:00:00,3.19,0.003034,0.83%,2026-03-25,2026-03-25 08:55:00,0.003307,71.92,-9.00%,2.2167,,2.4161,4.6328,0.0000,,,-997.28,-1001.91,-1001.91,-1001.91,12993.73,否,中（改成20%）,弱（12%）,max_hold_time,0.0000%,5.0,2216.66,否,,,0.003095,2.01%,0.92%,0.003041,0.23%,0.92%,0.003058,0.79%,1.58%,3.96%,3.96%,2.83%,,,3.1929,3.0634,1.0423,,,,
16,XPTUSDT,53.9,13.8,13.9,0.987,"$2,494,735","$2,317,041",1.077,0.0000,2026-03-23 06:00,1790.100000,2026-03-23,2026-03-23 07:00:00,5,4,2026-03-23 07:00:00,1.95,1786.960000,-0.18%,2026-03-23,2026-03-23 18:55:00,1888.600000,11.92,-5.69%,2.2167,,2.3427,4.5594,0.0000,,,-630.40,-634.96,-634.96,-634.96,12358.76,否,中（改成20%）,中（保持20%）,early_stop_loss_12h,0.0000%,5.0,2216.66,否,,,1811.750000,1.39%,1.68%,1888.600000,5.69%,1.68%,1886.500000,,1.68%,1.68%,1.68%,2.24%,,,1.9507,2.0048,0.9730,,,,
17,XAUUSDT,33.3,24.2,13.2,1.836,"$375,197,024","$432,568,074",0.867,0.0000,2026-03-23 07:00,4209.860000,2026-03-23,2026-03-23 08:00:00,5,4,2026-03-23 08:00:00,5.89,4227.670000,0.42%,2026-03-23,2026-03-23 19:55:00,4401.500000,11.92,-4.11%,2.0960,,2.1822,4.2782,0.0000,,,-430.91,-435.19,-435.19,-435.19,11923.57,否,中（改成20%）,中（保持20%）,early_stop_loss_12h,0.0822%,5.0,2096.02,否,,,4259.640000,0.76%,0.47%,4401.500000,4.11%,0.47%,4419.160000,,0.47%,0.47%,0.47%,1.96%,,,5.8918,6.2046,0.9496,,,,
18,BTRUSDT,66.3,8.9,9.2,0.973,"$4,049,168","$3,844,435",1.053,0.0000,2026-03-23 19:00,0.036720,2026-03-23,2026-03-23 20:00:00,3,2,2026-03-23 20:00:00,1.75,0.035610,-3.02%,2026-03-23,2026-03-23 21:30:00,0.040239,1.5,-13.00%,2.3489,,2.6542,5.0031,0.0000,,,-1526.76,-1531.76,-1531.76,-1531.76,10391.81,否,强（2h内默认）,强（保持30%）,stop_loss,0.0159%,5.0,2348.86,否,,,0.040150,12.75%,2.58%,0.042030,18.03%,2.58%,0.037490,,4.16%,4.16%,2.58%,14.94%,,,1.7480,1.7739,0.9854,,,,
19,AMZNUSDT,55.6,8.1,9.2,0.876,"$1,284,511","$1,285,086",1.000,0.0000,2026-03-23 13:00,212.640000,2026-03-23,2026-03-23 14:00:00,3,3,2026-03-23 14:00:00,1.39,212.040000,-0.28%,2026-03-26,2026-03-26 13:55:00,210.720000,71.92,0.62%,2.0578,,2.0450,4.1028,0.0000,,,64.05,59.95,59.95,59.95,10451.76,否,中（改成20%）,弱（12%）,max_hold_time,0.0000%,5.0,2057.82,否,,,210.600000,-0.68%,0.74%,208.270000,-1.78%,1.92%,207.760000,-2.02%,2.52%,2.52%,2.52%,0.35%,,,1.3941,1.6171,0.8621,,,,
20,KAITOUSDT,54.9,13.5,13.4,1.004,"$11,606,476","$12,111,544",0.958,0.0000,2026-03-23 11:00,0.402700,2026-03-23,2026-03-23 12:00:00,4,2,2026-03-23 12:00:00,0.93,0.395500,-1.79%,2026-03-26,2026-03-26 11:55:00,0.397200,71.92,-0.43%,2.0578,,2.0667,4.1245,0.0000,,,-44.23,-48.35,-48.35,-48.35,10403.41,否,中（改成20%）,弱（12%）,max_hold_time,-0.1841%,5.0,2057.82,否,,,0.401600,1.54%,1.34%,0.391400,-1.04%,1.85%,0.395900,0.10%,4.58%,4.58%,4.58%,2.12%,,,0.9331,0.9798,0.9523,,,,
21,NAORISUSDT,49.1,66.9,59.8,1.119,"$8,549,413","$16,240,915",0.526,0.0000,2026-03-24 02:00,0.093400,2026-03-24,2026-03-24 03:00:00,5,4,2026-03-24 03:00:00,0.41,0.086470,-7.42%,2026-03-24,2026-03-24 03:55:00,0.075229,0.92,13.00%,2.0578,,1.7903,3.8481,0.0000,,,1337.58,1333.74,1333.74,1333.74,11737.15,是,强（2h内默认）,强（保持30%）,take_profit,0.2278%,5.0,2057.82,否,,,0.066880,-22.66%,28.44%,0.066660,-22.91%,28.44%,0.060500,,39.19%,39.19%,15.29%,12.34%,,,0.4112,0.4577,0.8984,,,,
22,NMRUSDT,39.1,45.5,80.8,0.564,"$2,393,900","$2,765,721",0.866,0.0000,2026-03-24 02:00,7.063000,2026-03-24,2026-03-24 03:00:00,5,4,2026-03-24 03:00:00,1.09,6.990000,-1.03%,2026-03-27,2026-03-27 02:55:00,6.889000,71.92,1.44%,2.3112,,2.2778,4.5891,0.0000,,,166.98,162.39,162.39,162.39,11899.54,否,中（改成20%）,弱（12%）,max_hold_time,-0.0061%,5.0,2311.23,否,,,6.922000,-0.97%,3.51%,6.873000,-1.67%,3.51%,6.962000,-0.40%,3.51%,4.18%,4.18%,1.26%,,,1.0938,1.1290,0.9688,,,,
23,AXLUSDT,65.8,106.5,79.8,1.335,"$2,381,774","$3,047,202",0.782,0.0000,2026-03-25 00:00,0.053320,2026-03-25,2026-03-25 01:25:00,4,1,2026-03-25 01:25:00,0.87,0.052650,-1.26%,2026-03-26,2026-03-26 20:05:00,0.046859,42.67,11.00%,2.2279,,1.9828,4.2106,0.0000,,,1225.32,1221.11,1221.11,1221.11,13120.65,是,中（改成20%）,弱（12%）,take_profit,-0.6204%,5.0,2227.85,否,,,0.052600,-0.09%,1.54%,0.051290,-2.58%,3.23%,0.050000,-4.62%,5.64%,12.27%,11.02%,1.35%,,11.0%,0.8748,0.8765,,,,,
24,HIPPOUSDT,66.6,179.0,22.9,7.802,"$1,343,860","$1,912,311",0.703,0.0000,2026-03-25 03:00,0.000609,2026-03-25,2026-03-25 04:00:00,5,4,2026-03-25 04:00:00,2.79,0.000628,3.05%,2026-03-25,2026-03-25 06:10:00,0.000710,2.17,-13.00%,2.2279,,2.5175,4.7453,0.0000,,,-1448.11,-1452.85,-1452.85,-1452.85,11667.80,是,中（推断20%）,中（保持20%）,stop_loss,0.0000%,5.0,2227.85,否,,,0.000669,6.53%,7.64%,0.000636,1.21%,15.61%,0.000607,,15.61%,19.76%,15.61%,6.69%,,,2.7879,3.8008,0.7335,,,,
25,OPNUSDT,97.7,2.4,8.7,0.277,"$9,815,582","$10,061,948",0.976,0.0000,2026-03-25 17:00,0.201600,2026-03-25,2026-03-25 18:00:00,2,4,2026-03-25 18:00:00,0.41,0.202700,0.55%,2026-03-28,2026-03-28 17:55:00,0.198300,71.92,2.17%,2.1860,,2.1386,4.3246,0.0000,,,237.26,232.94,232.94,232.94,11900.73,否,中（改成20%）,弱（12%）,max_hold_time,-0.2439%,5.0,2186.03,否,,,0.200700,-0.99%,3.01%,0.207500,2.37%,3.01%,0.208100,2.66%,3.01%,9.77%,9.77%,1.28%,,,0.4069,0.4017,1.0129,,,,
26,ZKCUSDT,87.7,30.5,14.4,2.109,"$2,138,082","$2,434,258",0.878,0.0000,2026-03-25 19:00,0.079450,2026-03-25,2026-03-25 20:00:00,3,3,2026-03-25 20:00:00,1.35,0.079730,0.35%,2026-03-26,2026-03-26 18:35:00,0.071757,22.58,10.00%,2.1860,,1.9674,4.1535,0.0000,,,1093.01,1088.86,1088.86,1088.86,12989.59,否,中（改成20%）,弱（12%）,take_profit,0.0000%,5.0,2186.03,否,,,0.078830,-1.13%,2.60%,0.073160,-8.24%,9.37%,0.071770,,10.36%,14.76%,10.01%,1.38%,,10.0%,1.3491,1.4789,0.9122,,,,
27,HIVEUSDT,86.4,240.4,247.1,0.973,"$886,488","$956,673",0.927,0.0000,2026-03-26 00:00,0.065190,2026-03-26,2026-03-26 01:00:00,4,2,2026-03-26 01:00:00,1.84,0.065470,0.43%,2026-03-27,2026-03-27 04:05:00,0.058923,27.08,10.00%,2.1860,,1.9674,4.1535,0.0000,,,1093.01,1088.86,1088.86,1088.86,14078.45,否,中（改成20%）,弱（12%）,take_profit,-0.9446%,5.0,2186.03,否,,,0.064860,-0.93%,2.63%,0.060510,-7.58%,8.06%,0.060030,-8.31%,9.06%,13.27%,10.00%,1.22%,,10.0%,1.8361,2.1867,0.8397,,,,
28,SONICUSDT,62.3,4.7,7.7,0.611,"$1,526,079","$1,639,508",0.931,0.0000,2026-03-25 06:00,0.042230,2026-03-25,2026-03-25 07:00:00,5,3,2026-03-25 07:00:00,2.77,0.042290,0.14%,2026-03-28,2026-03-28 01:35:00,0.038061,66.58,10.00%,2.1860,,1.9674,4.1535,0.0000,,,1093.01,1088.86,1088.86,1088.86,15167.31,否,中（改成20%）,弱（12%）,take_profit,-0.0848%,5.0,2186.03,否,,,0.042460,0.40%,1.06%,0.042270,-0.05%,2.10%,0.040570,-4.07%,4.30%,10.36%,10.33%,0.85%,,10.0%,2.7693,2.5829,1.0722,,,,
29,CARVUSDT,51.8,73.0,145.7,0.501,"$1,045,348","$1,101,671",0.949,0.0000,2026-03-26 00:00,0.057700,2026-03-26,2026-03-26 01:00:00,3,2,2026-03-26 01:00:00,1.98,0.057430,-0.47%,2026-03-29,2026-03-29 00:55:00,0.054370,71.92,5.33%,2.6306,,2.4905,5.1211,0.0000,,,700.83,695.71,695.71,695.71,15863.02,否,中（改成20%）,弱（12%）,max_hold_time,0.0000%,5.0,2630.65,否,,,0.057340,-0.16%,1.01%,0.055910,-2.65%,3.12%,0.056040,-2.42%,4.46%,7.44%,7.44%,0.57%,,,1.9753,2.0340,0.9711,,,,
30,STGUSDT,37.8,5.1,6.0,0.845,"$11,291,626","$13,972,304",0.808,0.0000,2026-03-27 03:00,0.274500,2026-03-27,2026-03-27 04:00:00,4,3,2026-03-27 04:00:00,0.66,0.270700,-1.38%,2026-03-27,2026-03-27 18:25:00,0.240923,14.42,11.00%,2.6306,,2.3413,4.9719,0.0000,,,1446.86,1441.88,1441.88,1441.88,17304.91,是,中（改成20%）,弱（12%）,take_profit,-0.4397%,5.0,2630.65,否,,,0.263100,-2.81%,5.21%,0.256600,-5.21%,6.94%,0.242000,,13.52%,15.37%,12.41%,3.36%,,11.0%,0.6586,0.8653,0.7611,,,,
31,KNCUSDT,49.8,22.5,44.0,0.511,"$3,334,119","$5,236,662",0.637,0.0000,2026-03-27 06:00,0.184900,2026-03-27,2026-03-27 07:00:00,4,3,2026-03-27 07:00:00,0.89,0.184600,-0.16%,2026-03-27,2026-03-27 10:15:00,0.164294,3.25,11.00%,2.9046,,2.5851,5.4897,0.0000,,,1597.53,1592.04,1592.04,1592.04,18896.95,是,中（改成20%）,中（保持20%）,take_profit,-0.6720%,5.0,2904.61,否,,,0.175800,-4.77%,7.31%,0.162700,-11.86%,12.95%,0.152300,,19.77%,25.19%,11.65%,3.85%,,11.0%,0.8939,1.1400,0.7841,,,,
32,KAVAUSDT,38.9,14.7,19.5,0.753,"$1,901,255","$2,665,225",0.713,0.0000,2026-03-27 06:00,0.057300,2026-03-27,2026-03-27 07:00:00,4,4,2026-03-27 07:00:00,1.15,0.056500,-1.40%,2026-03-30,2026-03-30 06:55:00,0.053600,71.92,5.13%,3.2071,,3.0425,6.2496,0.0000,,,823.06,816.81,816.81,816.81,19713.76,是,中（改成20%）,弱（12%）,max_hold_time,-1.7757%,5.0,3207.09,否,,,0.055800,-1.24%,4.25%,0.054200,-4.07%,4.96%,0.052000,-7.96%,9.91%,9.91%,9.91%,4.60%,,,1.1473,1.1487,0.9988,,,,
33,STORJUSDT,33.3,19.5,21.1,0.922,"$1,389,405","$1,454,349",0.955,0.0000,2026-03-27 08:00,0.097400,2026-03-27,2026-03-27 09:00:00,5,2,2026-03-27 09:00:00,1.94,0.096800,-0.62%,2026-03-28,2026-03-28 23:10:00,0.087120,38.17,10.00%,3.2071,,2.8864,6.0935,0.0000,,,1603.55,1597.45,1597.45,1597.45,21311.22,否,中（改成20%）,弱（12%）,take_profit,0.0000%,5.0,3207.09,否,,,0.092700,-4.24%,4.86%,0.093700,-3.20%,5.37%,0.092200,-4.75%,6.82%,13.22%,10.02%,1.14%,,10.0%,1.9369,2.0166,0.9605,,,,
34,QUSDT,80.7,21.2,23.8,0.892,"$4,869,122","$6,929,561",0.703,0.0000,2026-03-28 00:00,0.013825,2026-03-28,2026-03-28 01:00:00,3,2,2026-03-28 01:00:00,0.94,0.013562,-1.90%,2026-03-28,2026-03-28 01:15:00,0.011799,0.25,13.00%,3.7618,,3.2727,7.0345,0.0000,,,2445.14,2438.10,2438.10,2438.10,23749.32,是,强（2h内默认）,强（保持30%）,take_profit,0.0000%,5.0,3761.75,否,,,0.008373,-38.26%,65.89%,0.008639,-36.30%,65.89%,0.009276,,65.89%,65.89%,65.89%,3.05%,,,0.9372,1.0995,0.8524,,,,
35,OLUSDT,44.0,6.9,7.7,0.885,"$766,379","$829,253",0.924,0.0000,2026-03-28 05:00,0.012890,2026-03-28,2026-03-28 06:00:00,3,2,2026-03-28 06:00:00,2.82,0.013000,0.85%,2026-03-28,2026-03-28 09:25:00,0.011570,3.42,11.00%,4.2250,,3.7602,7.9852,0.0000,,,2323.75,2315.76,2315.76,2315.76,26065.08,否,中（改成20%）,中（保持20%）,take_profit,0.0000%,5.0,4224.99,否,,,0.012690,-2.38%,3.31%,0.011830,-9.00%,17.62%,0.011720,,17.62%,20.77%,17.62%,1.15%,,11.0%,2.8183,2.7133,1.0387,,,,
36,NOMUSDT,40.4,11.1,13.5,0.821,"$1,712,383","$3,529,140",0.485,0.0000,2026-03-28 11:00,0.002349,2026-03-28,2026-03-28 12:00:00,3,2,2026-03-28 12:00:00,1.54,0.002290,-2.51%,2026-03-28,2026-03-28 14:00:00,0.002382,2.0,-4.02%,4.6650,,4.8524,9.5174,0.0000,,,-937.07,-946.59,-946.59,-946.59,25118.49,是,中（推断20%）,中（保持20%）,early_stop_loss,-2.1719%,5.0,4664.99,否,,,0.002408,5.15%,3.80%,0.003099,35.33%,3.80%,0.002669,,3.80%,3.80%,3.80%,11.27%,,,1.5432,2.5549,0.6040,,,,
37,PTBUSDT,41.6,3.7,3.3,1.136,"$12,082,262","$7,846,608",1.540,0.0000,2026-03-28 12:00,0.001313,2026-03-28,2026-03-28 13:00:00,3,2,2026-03-28 13:00:00,2.80,0.001213,-7.62%,2026-03-28,2026-03-28 13:55:00,0.001371,0.92,-13.00%,4.4851,,5.0682,9.5533,0.0000,,,-2915.34,-2924.89,-2924.89,-2924.89,22193.60,是,强（2h内默认）,强（保持30%）,stop_loss,0.0000%,5.0,4485.13,否,,,0.001308,7.83%,6.60%,0.001249,2.97%,6.60%,0.001140,,7.67%,20.69%,6.60%,21.35%,,,2.8037,2.3047,1.2165,,,,
38,HEMIUSDT,39.3,9.2,10.6,0.865,"$1,343,719","$1,922,138",0.699,0.0000,2026-03-28 17:00,0.006367,2026-03-28,2026-03-28 18:00:00,3,4,2026-03-28 18:00:00,2.40,0.006227,-2.20%,2026-03-31,2026-03-31 17:55:00,0.005915,71.92,5.01%,3.9294,,3.7325,7.6619,0.0000,,,984.40,976.74,976.74,976.74,23170.34,是,中（改成20%）,弱（12%）,max_hold_time,-0.5243%,5.0,3929.40,否,,,0.006019,-3.34%,4.61%,0.006339,1.80%,6.52%,0.005853,-6.01%,7.61%,10.87%,10.87%,2.57%,,,2.3967,2.8595,0.8382,,,,
39,CKBUSDT,85.8,71.4,57.6,1.240,"$1,152,823","$1,294,693",0.890,0.0000,2026-03-29 00:00,0.001388,2026-03-29,2026-03-29 01:00:00,3,4,2026-03-29 01:00:00,1.74,0.001377,-0.79%,2026-04-01,2026-04-01 00:55:00,0.001392,71.92,-1.09%,4.0616,,4.1058,8.1674,0.0000,,,-221.22,-229.39,-229.39,-229.39,22940.95,否,中（改成20%）,弱（12%）,max_hold_time,-0.1311%,5.0,4061.59,否,,,0.001363,-1.02%,1.23%,0.001346,-2.25%,2.61%,0.001342,-2.54%,5.37%,5.37%,5.37%,1.09%,,,1.7435,2.0084,0.8681,,,,
